재야인사로	재야인사/NNG + 로/JKB
출발,	출발/NNG + ,/SP
줄곧	줄곧/MAG
경제기획원에만	경제/NNG + 기획원/NNG + 에/JKB + 만/JX
근무해	근무/NNG + 하/XSV + 아/EC
온	오/VX + ㄴ/ETM
정통	정통/NNG
경제	경제/NNG
관료.	관료/NNG + ./SF

온화한	온화/XR + 하/XSA + ㄴ/ETM
성품에	성품/NNG + 에/JKB
상하	상하/NNG
관계가	관계/NNG + 가/JKS
원만하며	원만/XR + 하/XSA + 며/EC
일	일/NNG
처리는	처리/NNG + 는/JX
철저하게	철저/NNG + 하/XSA + 게/EC
합리성을	합리/NNG + 성/XSN + 을/JKO
추구한다는	추구/NNG + 하/XSV + ㄴ다는/ETM
평.	평/NNG + ./SF

이경식	이경식/NNP
부총리의	부총리/NNG + 의/JKG
과거	과거/NNG
부하	부하/NNG
직원으로	직원/NNG + 으로/JKB
장	장/NNP
차관의	차관/NNG + 의/JKG
호흡은	호흡/NNG + 은/JX
잘	잘/MAG
맞을	맞/VV + 을/ETM
듯.	듯/NNB + ./SF

▴	▴/SW
서울·52세	서울/NNP + ·/SP + 52/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
법대	법대/NNG
▴	▴/SW
기획원	기획원/NNG
정책조정국장-대외경제조정실장-기획관리실장	정책/NNG + 조정/NNG + 국장/NNG + -/SS + 대외/NNG + 경제/NNG + 조정/NNG + 실장/NNG + -/SS + 기획/NNG + 관리/NNG + 실장/NNG

82년	82/SN + 년/NNB
대검중수부	대검/NNP + 중수부/NNG
과장시절	과장/NNG + 시절/NNG
이철희-장영자사건	이철희/NNP + -/SS + 장영자/NNP + 사건/NNG
등	등/NNB
대형	대형/NNG
사건들을	사건/NNG + 들/XSN + 을/JKO
뒷말	뒷말/NNG
없이	없이/MAG
마무리한	마무리/NNG + 하/XSV + ㄴ/ETM
전형적인	전형/NNG + 적/XSN + 이/VCP + ㄴ/ETM
수사	수사/NNG
검사	검사/NNG
출신.	출신/NNG + ./SF

고시	고시/NNG
16회로	16/SN + 회/NNB + 로/JKB
검찰내	검찰/NNG + 내/NNB
호남출신중	호남/NNP + 출신/NNG + 중/NNB
대표	대표/NNG
주자.	주/VX + 자/EF + ./SF

▴	▴/SW
전북	전북/NNP
전주·52세	전주/NNP + ·/SP + 52/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
법대	법대/NNG
▴	▴/SW
서울	서울/NNP
지검	지검/NNG
1차장	1/SN + 차장/NNG
▴	▴/SW
법무부	법무부/NNG
기획관리실장	기획/NNG + 관리/NNG + 실장/NNG
▴	▴/SW
광주	광주/NNP
지검	지검/NNG
검사장	검사장/NNG
▴	▴/SW
법무부	법무부/NNG
교정국장▴	교정/NNG + 국장/NNG + ▴/SW
대검	대검/NNG
중수부장	중수부장/NNG
▴	▴/SW
광주	광주/NNP
고검장	고검장/NNG

사무관	사무관/NNG
임관후	임관/NNG + 후/NNG
줄곧	줄곧/MAG
농림수산부에	농림수산부/NNG + 에/JKB
몸담아	몸담/VV + 아/EC
온	오/VX + ㄴ/ETM
보기	보/VV + 기/ETN
드문	드물/VA + ㄴ/ETM
농정통.	농정통/NNG + ./SF

통치의	통치/NNG + 의/JKG
기본은	기본/NNG + 은/JX
농업에	농업/NNG + 에/JKB
있다는	있/VV + 다는/ETM
'치본어농'을	'/SS + 치본어농/NNG + '/SS + 을/JKO
평소역설.	평소/NNG + 역설/NNG + ./SF

사교성이	사교/NNG + 성/XSN + 이/JKS
부족하다는	부족/NNG + 하/XSA + 다는/ETM
평가도	평가/NNG + 도/JX
받지만	받/VV + 지만/EC
맡은	맡/VV + 은/ETM
일은	일/NNG + 은/JX
오차	오차/NNG
없이	없이/MAG
끝내야	끝내/VV + 어야/EC
하는	하/VX + 는/ETM
완벽주의가	완벽/NNG + 주의/NNG + 가/JKS
강점.	강점/NNG + ./SF

윤규선	윤규선/NNP
여사와	여사/NNG + 와/JC
3남	3/SN + 남/NNG
▴	▴/SW
경남	경남/NNP
거제·51세	거제/NNP + ·/SP + 51/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
사회학과	사회학/NNG + 과/NNG
▴	▴/SW
농림수산부	농림수산부/NNG
주미농무관-기획관리실장-제	주미/NNG + 농무관/NNG + -/SS + 기획/NNG + 관리/NNG + 실장/NNG + -/SS + 제/XPN
1차관보	1/SN + 차관보/NNG

61년	61/SN + 년/NNB
총무처	총무처/NNG
행정	행정/NNG
주사보로	주사보/NNG + 로/JKB
출발,	출발/NNG + ,/SP
공직생활	공직/NNG + 생활/NNG
대부분을	대부분/NNG + 을/JKO
통일원과	통일원/NNG + 과/JC
평통	평통/NNG
자문	자문/NNG
회의에서	회의/NNG + 에서/JKB
보냈다.	보내/VV + 었/EP + 다/EF + ./SF

통일	통일/NNG
문제는	문제/NNG + 는/JX
전문가이나	전문가/NNG + 이/VCP + 나/EC
노동	노동/NNG
행정은	행정/NNG + 은/JX
처음.	처음/NNG + ./SF

꼼꼼하게	꼼꼼/MAG + 하/XSA + 게/EC
업무를	업무/NNG + 를/JKO
챙기나	챙기/VV + 나/EC
대인	대인/NNG
관계가	관계/NNG + 가/JKS
원만해	원만/XR + 하/XSA + 아/EC
누구에게나	누구/NP + 에게/JKB + 나/JX
호감을	호감/NNG + 을/JKO
사는	사/VV + 는/ETM
스타일.	스타일/NNG + ./SF

이날	이날/NNG
오후	오후/NNG
큰	크/VA + ㄴ/ETM
딸	딸/NNG
은정양(26)을	은정/NNP + 양/NNB + (/SS + 26/SN + )/SS + 을/JKO
시집보냈다.	시집보내/VV + 었/EP + 다/EF + ./SF

▴	▴/SW
평남	평남/NNP
용강·57세	용강/NNP + ·/SP + 57/SN + 세/NNB
▴	▴/SW
동국대	동국대/NNP
정외과	정외과/NNG
▴	▴/SW
평통	평통/NNG
사무사창	사무사창/NNG
▴	▴/SW
평남지사	평남/NNP + 지사/NNG

25년	25/SN + 년/NNB
동안	동안/NNG
과기처에서만	과기처/NNG + 에서/JKB + 만/JX
근무한	근무/NNG + 하/XSV + ㄴ/ETM
전문관료.	전문/NNG + 관료/NNG + ./SF

이중	이/MM + 중/NNB
18년을	18/SN + 년/NNB + 을/JKO
원자력과	원자력/NNG + 과/JC
관련된	관련/NNG + 되/XSV + ㄴ/ETM
분야에서	분야/NNG + 에서/JKB
일했다.	일/NNG + 하/XSV + 았/EP + 다/EF + ./SF

원자력실장이던	원자력실장/NNG + 이/VCP + 던/ETM
지난해	지난해/NNG
원자력	원자력/NNG
장기	장기/NNG
개발	개발/NNG
계획이	계획/NNG + 이/JKS
유출되는	유출/NNG + 되/XSV + 는/ETM
바람에	바람/NNB + 에/JKB
책임을	책임/NNG + 을/JKO
지고	지/VV + 고/EC
국립	국립/NNG
중앙	중앙/NNG
과학관장으로	과학관장/NNG + 으로/JKB
물러	무르/VV + 어/EC
났다가	나/VX + 았/EP + 다가/EC
이번에	이번/NNG + 에/JKB
본부로	본부/NNG + 로/JKB
금의환양했다.	금의환양/NNG + 하/XSV + 았/EP + 다/EF + ./SF

▴	▴/SW
경남	경남/NNP
사천·54세	사천/NNP + ·/SP + 54/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
졸업	졸업/NNG
▴	▴/SW
ROTC	ROTC/SL
1기생으로	1/SN + 기/NNG + 생/XSN + 으로/JKB
오인숙(47)여사와의	오인숙/NNP + (/SS + 47/SN + )/SS + 여사/NNG + 와/JKB + 의/JKG
사이에	사이/NNG + 에/JKB
1남	1/SN + 남/NNG
3녀.	3/SN + 녀/NNG + ./SF

평소	평소/NNG
온화한	온화/XR + 하/XSA + ㄴ/ETM
성품이지만	성품/NNG + 이/VCP + 지만/EC
불의를	불의/NNG + 를/JKO
보면	보/VV + 면/EC
참지	참/VV + 지/EC
못하는	못하/VX + 는/ETM
'정의파'.	'/SS + 정의파/NNG + '/SS + ./SF

64년	64/SN + 년/NNB
6·3	6/SN + ·/SP + 3/SN
학생	학생/NNG
운동과	운동/NNG + 과/JC
65년	65/SN + 년/NNB
한일	한/NNP + 일/NNP
협정	협정/NNG
비준	비준/NNG
반대	반대/NNG
시위에	시위/NNG + 에/JKB
참가해	참가/NNG + 하/XSV + 아/EC
옥고를	옥고/NNG + 를/JKO
치르기도	치르/VV + 기/ETN + 도/JX
했다.	하/VX + 았/EP + 다/EF + ./SF

87년	87/SN + 년/NNB
대선에서는	대선/NNG + 에서/JKB + 는/JX
야권	야/NNG + 권/XSN
후보	후보/NNG
단일화	단일/NNG + 화/XSN
운동을	운동/NNG + 을/JKO
벌였다.	벌이/VV + 었/EP + 다/EF + ./SF

▴	▴/SW
서울·48세	서울/NNP + ·/SP + 48/SN + 세/NNB
▴	▴/SW
서울	서울/NNP
법대	법대/NNG
졸	졸/NNG
▴	▴/SW
사시	사시/NNG
12회	12/SN + 회/NNB
▴	▴/SW
광주지법	광주지법/NNP
판사	판사/NNG
▴	▴/SW
변호사	변호사/NNG
▴	▴/SW
경실련	경실련/NNG
상임집행위원장	상임/NNG + 집행/NNG + 위원장/NNG

씨름선수	씨름/NNG + 선수/NNG
출신으로	출신/NNG + 으로/JKB
유도	유도/NNG
6단의	6/SN + 단/NNG + 의/JKG
만능	만능/NNG
스포츠맨.	스포츠맨/NNG + ./SF

9공	9/SN + 공/NNG
수여단	수여단/NNG
시절	시절/NNG
여단장이었던	여단장/NNG + 이/VCP + 었/EP + 던/ETM
노태우	노태우/NNP
전	전/MM
대통령	대통령/NNG
밑에서	밑/NNG + 에서/JKB
근무한	근무/NNG + 하/XSV + ㄴ/ETM
것이	것/NNB + 이/JKS
인연이	인연/NNG + 이/JKC
돼	되/VV + 어/EC
오늘에	오늘/NNG + 에/JKB
이른	이르/VV + ㄴ/ETM
노인맥.	노/NNP + 인맥/NNG + ./SF

안기부내	안기부/NNG + 내/NNB
YS지지	YS/SL + 지지/NNG
핵심으로	핵심/NNG + 으로/JKB
대선	대선/NNG
때	때/NNG
상당한	상당/NNG + 하/XSA + ㄴ/ETM
공이	공/NNG + 이/JKS
있었다는	있/VV + 었/EP + 다는/ETM
평.	평/NNG + ./SF

▴	▴/SW
경북	경북/NNP
달성·53세	달성/NNP + ·/SP + 53/SN + 세/NNB
▴	▴/SW
경북대	경북대/NNP
사대	사대/NNG
▴	▴/SW
ROTC	ROTC/SL
3기	3/SN + 기/NNG
▴	▴/SW
안기부	안기부/NNG
국방보좌관(준장)	국방/NNG + 보좌관/NNG + (/SS + 준장/NNG + )/SS
▴	▴/SW
소장예편	소장/NNG + 예편/NNG
▴	▴/SW
안기부	안기부/NNG
기조실장	기조실장/NNG

30년	30/SN + 년/NNB
간	간/NNB
수산행정	수산/NNG + 행정/NNG
분야에서	분야/NNG + 에서/JKB
근무하다	근무/NNG + 하/XSV + 다/EC
지난	지나/VV + ㄴ/ETM
91년	91/SN + 년/NNB
'인사정체'를	'/SS + 인사/NNG + 정체/NNG + '/SS + 를/JKO
이유로	이유/NNG + 로/JKB
수산청	수산청/NNG
차장에서	차장/NNG + 에서/JKB
용퇴.	용퇴/NNG + ./SF

수산청	수산청/NNG
요직을	요직/NNG + 을/JKO
장악하고	장악/NNG + 하/XSV + 고/EC
있는	있/VX + 는/ETM
부산	부산/NNP
수산대	수산대/NNP
출신의	출신/NNG + 의/JKG
대부	대부/NNG
격으로	격/NNB + 으로/JKB
꼼꼼하고	꼼꼼/MAG + 하/XSA + 고/EC
과묵한	과묵/NNG + 하/XSA + ㄴ/ETM
성격.	성격/NNG + ./SF

부인	부인/NNG
김승엽씨(58)와	김승엽/NNP + 씨/NNB + (/SS + 58/SN + )/SS + 와/JC
2남	2/SN + 남/NNG
1녀.	1/SN + 녀/NNG + ./SF

취미	취미/NNG
테니스.	테니스/NNG + ./SF

▴	▴/SW
경남	경남/NNP
하동·62세	하동/NNP + ·/SP + 62/SN + 세/NNB
▴	▴/SW
부산	부산/NNP
수산대	수산대/NNP
어로과	어로과/NNG
▴	▴/SW
한국수산회	한국수산회/NNP
회장	회장/NNG

20여년	20/SN + 여/XSN + 년/NNB
동안	동안/NNG
남북	남북/NNP
대화와	대화/NNG + 와/JC
통일	통일/NNG
문제를	문제/NNG + 를/JKO
다루어	다루/VV + 어/EC
온	오/VX + ㄴ/ETM
전문가.	전문가/NNG + ./SF

84년	84/SN + 년/NNB
남북	남북/NNP
적십자	적십자/NNG
회담	회담/NNG
실무수석	실무/NNG + 수석/NNG
대표로서	대표/NNG + 로서/JKB
제	제/XPN
1차	1/SN + 차/NNB
이산	이산/NNG
가족	가족/NNG
고향방문단	고향/NNG + 방문단/NNG
사업을	사업/NNG + 을/JKO
성사시키는	성사/NNG + 시키/XSV + 는/ETM
데	데/NNB
일조를	일조/NNG + 를/JKO
했다.	하/VV + 았/EP + 다/EF + ./SF

큰	크/VA + ㄴ/ETM
소리를	소리/NNG + 를/JKO
내는	내/VV + 는/ETM
적이	적/NNB + 이/JKS
없는	없/VA + 는/ETM
조용한	조용/XR + 하/XSA + ㄴ/ETM
성품.	성품/NNG + ./SF

▴	▴/SW
전남	전남/NNP
구례	구례/NNP
56세	56/SN + 세/NNB
▴	▴/SW
연세대	연세대/NNP
정외과	정외과/NNG
졸	졸/NNG
▴	▴/SW
문화	문화/NNG
방송	방송/NNG
정경부장	정경/NNG + 부장/NNG
대우	대우/NNG
▴	▴/SW
동	동/MM
남북회담사무국	남북/NNP + 회담/NNG + 사무국/NNG
상근대표	상근/NNG + 대표/NNG
▴	▴/SW
동	동/MM
자문	자문/NNG
위원	위원/NNG

80년	80/SN + 년/NNB
대	대/NNB
말	말/NNB
재무부	재무/NNG + 부/NNG
금융차관보	금융/NNG + 차관보/NNG
시절금융산업	시절/NNG + 금융/NNG + 산업/NNG
개편	개편/NNG
작업을	작업/NNG + 을/JKO
주도했던	주도/NNG + 하/XSV + 았/EP + 던/ETM
재정	재정/NNG
금융통.	금융통/NNG + ./SF

민간	민간/NNG
국방	국방/NNG
차관이	차관/NNG + 이/JKS
임명됐던	임명/NNG + 되/XSV + 었/EP + 던/ETM
전례가	전례/NNG + 가/JKS
거의	거의/MAG
없는	없/VA + 는/ETM
관행을	관행/NNG + 을/JKO
깨고	깨/VV + 고/EC
국방	국방/NNG
실무를	실무/NNG + 를/JKO
총괄하는	총괄/NNG + 하/XSV + 는/ETM
자리에	자리/NNG + 에/JKB
발탁됐다.	발탁/NNG + 되/XSV + 었/EP + 다/EF + ./SF

군사	군사/NNG
전략	전략/NNG
문외한으로	문외한/NNG + 으로/JKB
방대한	방대/XR + 하/XSA + ㄴ/ETM
국방	국방/NNG
예산을	예산/NNG + 을/JKO
어떻게	어떻/VA + 게/EC
요리할	요리/NNG + 하/XSV + ㄹ/ETM
것인지가	것/NNB + 이/VCP + ㄴ지/EC + 가/JKS
관심.	관심/NNG + ./SF

▴	▴/SW
경남	경남/NNP
창원·56세	창원/NNP + ·/SP + 56/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
상대	상대/NNG
▴	▴/SW
재무부	재무/NNG + 부/NNG
이재국장	이재국장/NNG
▴	▴/SW
관세청장	관세청장/NNG
▴	▴/SW
재무부	재무/NNG + 부/NNG
차관	차관/NNG

상공부와	상공/NNG + 부/NNG + 와/JC
공업	공업/NNG
진흥청에서	진흥/NNG + 청/NNG + 에서/JKB
주로	주로/MAG
산업	산업/NNG
파트를	파트/NNG + 를/JKO
맡아	맡/VV + 아/EC
업계	업계/NNG
사정에	사정/NNG + 에/JKB
정통한	정통/NNG + 하/XSV + ㄴ/ETM
상공관료.	상공/NNG + 관료/NNG + ./SF

대우	대우/NNP
조선	조선/NNG
합리화	합리/NNG + 화/XSN
대책,	대책/NNG + ,/SP
한국	한국/NNP
중공업	중공업/NNG
정상화	정상/NNG + 화/XSN
대책을	대책/NNG + 을/JKO
뒷심	뒷심/NNG
있게	있/VV + 게/EC
밀어	밀/VV + 어/EC
붙였다.	붙이/VV + 었/EP + 다/EF + ./SF

한국	한국/NNP
수출	수출/NNG
보험	보험/NNG
공사가	공사/NNG + 가/JKS
설립되면서	설립/NNG + 되/XSV + 면서/EC
공직을	공직/NNG + 을/JKO
떠났었다.	떠나/VV + 았었/EP + 다/EF + ./SF

▴	▴/SW
경남	경남/NNP
진양·53세	진양/NNP + ·/SP + 53/SN + 세/NNB
▴	▴/SW
경북대	경북대/NNP
사대	사대/NNG
▴	▴/SW
상공부	상공/NNG + 부/NNG
상역국장-제	상역국장/NNG + -/SS + 제/XPN
2차관보	2/SN + 차관보/NNG
▴	▴/SW
공진청	공진청/NNG
차장-청장	차장/NNG + -/SS + 청장/NNG
▴	▴/SW
한국수출보험공사	한국수출보험공사/NNP
사장	사장/NNG

한국	한국/NNP
개발	개발/NNG
연구원	연구원/NNG
수석	수석/NNG
연구원으로	연구원/NNG + 으로/JKB
출발,	출발/NNG + ,/SP
재무부와	재무/NNG + 부/NNG + 와/JC
경제기획원	경제/NNG + 기획원/NNG
자문관을	자문관/NNG + 을/JKO
거친	거치/VV + ㄴ/ETM
비관료	비/XPN + 관료/NNG
출신.	출신/NNG + ./SF

청와대	청와대/NNP
경제	경제/NNG
비서관을	비서관/NNG + 을/JKO
지낸	지내/VV + ㄴ/ETM
것이	것/NNB + 이/JKS
인연이	인연/NNG + 이/JKC
돼	되/VV + 어/EC
차관에	차관/NNG + 에/JKB
발탁됐다고.	발탁/NNG + 되/XSV + 었/EP + 다고/EF + ./SF

연구원	연구원/NNG
시절	시절/NNG
담당한	담당/NNG + 하/XSV + ㄴ/ETM
'투자효율분석'등을	'/SS + 투자/NNG + 효율/NNG + 분석/NNG + '/SS + 등/NNB + 을/JKO
날로	날로/MAG
복잡해지는	복잡/XR + 하/XSA + 아/EC + 지/VX + 는/ETM
교통	교통/NNG
업무	업무/NNG
발전에	발전/NNG + 에/JKB
도입할	도입/NNG + 하/XSV + ㄹ/ETM
것으로	것/NNB + 으로/JKB
기대되고	기대/NNG + 되/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

▴	▴/SW
경기	경기/NNP
개성·46세	개성/NNP + ·/SP + 46/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
경제학과	경제학/NNG + 과/NNG
졸	졸/NNG
▴	▴/SW
경제학	경제학/NNG
박사	박사/NNG
▴	▴/SW
주미	주미/NNG
공사	공사/NNG

7회	7/SN + 회/NNB
행정고시	행정/NNG + 고시/NNG
합격후	합격/NNG + 후/NNG
70년부터	70/SN + 년/NNB + 부터/JX
보사부에서	보사부/NNG + 에서/JKB
공직	공직/NNG
생활을	생활/NNG + 을/JKO
시작,	시작/NNG + ,/SP
80년	80/SN + 년/NNB
환경청이	환경청/NNG + 이/JKS
보사부에서	보사부/NNG + 에서/JKB
독립할	독립/NNG + 하/XSV + ㄹ/ETM
때부터	때/NNG + 부터/JX
13년	13/SN + 년/NNB
간	간/NNB
몸담아	몸담/VV + 아/EC
온	오/VX + ㄴ/ETM
환경처의	환경/NNG + 처/NNG + 의/JKG
산	살/VV + ㄴ/ETM
증인.	증인/NNG + ./SF

심사숙고형으로서는	심사숙고/NNG + 형/XSN + 으로서/JKB + 는/JX
꼼꼼히	꼼꼼히/MAG
업무를	업무/NNG + 를/JKO
추진한다는	추진/NNG + 하/XSV + ㄴ다는/ETM
평.	평/NNG + ./SF

▴	▴/SW
평양·53세	평양/NNP + ·/SP + 53/SN + 세/NNB
▴	▴/SW
63년	63/SN + 년/NNB
서울대	서울대/NNP
법대	법대/NNG
졸	졸/NNG
▴	▴/SW
70년	70/SN + 년/NNB
법제처	법제처/NNG
행정사무관	행정/NNG + 사무관/NNG
▴	▴/SW
86년	86/SN + 년/NNB
대기보전국장	대기/NNG + 보전/NNG + 국장/NNG
▴	▴/SW
90년	90/SN + 년/NNB
기획	기획/NNG
관리	관리/NNG
실장	실장/NNG

키	키/NNG
1백	1/SN + 백/NR
75㎝의	75/SN + ㎝/SW + 의/JKG
당당한	당당/MAG + 하/XSA + ㄴ/ETM
체구에	체구/NNG + 에/JKB
누구에게나	누구/NP + 에게/JKB + 나/JX
거침없는	거침없/VA + 는/ETM
성격.	성격/NNG + ./SF

여성으로서는	여성/NNG + 으로서/JKB + 는/JX
처음	처음/NNG
집권당	집권당/NNG
부대변인을	부대변인/NNG + 을/JKO
지냈다.	지내/VV + 었/EP + 다/EF + ./SF

13대	13/SN + 대/NNB
총선	총선/NNG
때	때/NNG
민정당	민정당/NNP
지역구	지역구/NNG
공천을	공천/NNG + 을/JKO
받았을	받/VV + 았/EP + 을/ETM
때부터	때/NNG + 부터/JX
상당한	상당/NNG + 하/XSA + ㄴ/ETM
'정치감각'을	'/SS + 정치/NNG + 감각/NNG + '/SS + 을/JKO
보여	보이/VV + 어/EC
왔다.	오/VX + 았/EP + 다/EF + ./SF

▴	▴/SW
전북	전북/NNP
김제.	김제/NNP + ./SF

47세	47/SN + 세/NNB
▴	▴/SW
고려대	고려대/NNP
교육학과	교육학/NNG + 과/NNG
졸	졸/NNG
▴	▴/SW
민자당	민자당/NNP
부대변인-민자당	부대변인/NNG + -/SS + 민자당/NNP
여성정책특위	여성/NNG + 정책/NNG + 특위/NNG
부위원장	부위원장/NNG
▴	▴/SW
한국여성정치문화연구소장	한국여성정치문화연구소장/NNG

지난	지나/VV + ㄴ/ETM
63년	63/SN + 년/NNB
부산	부산/NNP
세관	세관/NNG
사무관을	사무관/NNG + 을/JKO
시작으로	시작/NNG + 으로/JKB
30년	30/SN + 년/NNB
간	간/NNB
줄곧	줄곧/MAG
관세	관세/NNG
분야에만	분야/NNG + 에/JKB + 만/JX
몸담아와	몸담/VV + 아/EC + 오/VX + 아/EC
이론과	이론/NNG + 과/JC
실무를	실무/NNG + 를/JKO
겸비했다는	겸비/NNG + 하/XSV + 았/EP + 다는/ETM
평.	평/NNG + ./SF

조용하고	조용/XR + 하/XSA + 고/EC
소탈한	소탈/NNG + 하/XSA + ㄴ/ETM
성격으로	성격/NNG + 으로/JKB
상하간	상하/NNG + 간/NNB
대인	대인/NNG
관계가	관계/NNG + 가/JKS
부드럽다.	부드럽/VA + 다/EF + ./SF

업무	업무/NNG
브리핑과	브리핑/NNG + 과/JC
연설	연설/NNG
실력도	실력/NNG + 도/JX
탁월하다는	탁월/XR + 하/XSA + 다는/ETM
평.	평/NNG + ./SF

부인	부인/NNG
강경숙씨(46)와	강경숙/NNP + 씨/NNB + (/SS + 46/SN + )/SS + 와/JC
2남	2/SN + 남/NNG
▴	▴/SW
전북	전북/NNP
고창·55세	고창/NNP + ·/SP + 55/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
법대	법대/NNG
▴	▴/SW
재무부	재무/NNG + 부/NNG
관세국장-세무대학장	관세국장/NNG + -/SS + 세무/NNG + 대학장/NNG
▴	▴/SW
서울세관장-관세청	서울세관장/NNG + -/SS + 관세청/NNG
차장	차장/NNG

프랑스,	프랑스/NNP + ,/SP
벨기에,	벨기에/NNP + ,/SP
제네바	제네바/NNP
주재	주재/NNG
상무관을	상무관/NNG + 을/JKO
역임하는	역임/NNG + 하/XSV + 는/ETM
등	등/NNB
주로	주로/MAG
통상	통상/NNG
부문에서	부문/NNG + 에서/JKB
일했다.	일/NNG + 하/XSV + 았/EP + 다/EF + ./SF

친근감	친근감/NNG
있는	있/VV + 는/ETM
외모처럼	외모/NNG + 처럼/JKB
성격도	성격/NNG + 도/JX
소탈하고	소탈/NNG + 하/XSA + 고/EC
활발하며	활발/XR + 하/XSA + 며/EC
부하	부하/NNG
직원에게	직원/NNG + 에게/JKB
과감한	과감/XR + 하/XSA + ㄴ/ETM
권한을	권한/NNG + 을/JKO
이양하는	이양/NNG + 하/XSV + 는/ETM
스타일.	스타일/NNG + ./SF

만능	만능/NNG
스포츠맨으로	스포츠맨/NNG + 으로/JKB
스키를	스키/NNG + 를/JKO
즐긴다.	즐기/VV + ㄴ다/EF + ./SF

▴	▴/SW
서울·55세	서울/NNP + ·/SP + 55/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
법대	법대/NNG
▴	▴/SW
상공부	상공/NNG + 부/NNG
공보관-통상진흥국장-전자공업국장-무역조사실장-제	공보관/NNG + -/SS + 통상/NNG + 진흥/NNG + 국장/NNG + -/SS + 전자/NNG + 공업/NNG + 국장/NNG + -/SS + 무역/NNG + 조사/NNG + 실장/NNG + -/SS + 제/XPN
1차관보	1/SN + 차관보/NNG

미-일-중-러시아	미/NNP + -/SS + 일/NNP + -/SS + 중/NNP + -/SS + 러시아/NNP
등	등/NNB
한반도	한반도/NNP
주변	주변/NNG
4강과의	4/SN + 강/NNG + 과/JKB + 의/JKG
'균형외교'와,	'/SS + 균형/NNG + 외교/NNG + '/SS + 와/JC + ,/SP
외무부의	외무부/NNG + 의/JKG
자체	자체/NNG
개혁을	개혁/NNG + 을/JKO
강조해	강조/NNG + 하/XSV + 아/EC
온	오/VX + ㄴ/ETM
직업	직업/NNG
외교관.	외교관/NNG + ./SF

6공	6/SN + 공/NNG
때	때/NNG
제	제/XPN
2차관보로	2/SN + 차관보/NNG + 로/JKB
재직하면서	재직/NNG + 하/XSV + 면서/EC
한-미	한/NNP + -/SS + 미/NNP
통상	통상/NNG
마찰을	마찰/NNG + 을/JKO
소신	소신/NNG
있게	있/VV + 게/EC
타결,	타결/NNG + ,/SP
능력을	능력/NNG + 을/JKO
인정받았다.	인정받/VV + 았/EP + 다/EF + ./SF

북방	북방/NNG
외교	외교/NNG
추진	추진/NNG
본부장을	본부장/NNG + 을/JKO
맡은	맡/VV + 은/ETM
외무부	외무부/NNG
내	내/NNB
북방통.	북방통/NNG + ./SF

▴	▴/SW
충북	충북/NNP
제천·56세	제천/NNP + ·/SP + 56/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
법대	법대/NNG
졸	졸/NNG
▴	▴/SW
제	제/XPN
2차관보	2/SN + 차관보/NNG
▴	▴/SW
주말	주말/NNG
레이시아	레이시아/NNP
대사	대사/NNG

부하들의	부하/NNG + 들/XSN + 의/JKG
의견을	의견/NNG + 을/JKO
존중하는	존중/NNG + 하/XSV + 는/ETM
민주적-합리적	민주/NNG + 적/XSN + -/SS + 합리/NNG + 적/XSN
스타일.	스타일/NNG + ./SF

행시	행시/NNG
6회	6/SN + 회/NNB
출신으로	출신/NNG + 으로/JKB
총리실과	총리실/NNG + 과/JC
대통령	대통령/NNG
비서실	비서실/NNG
등에서	등/NNB + 에서/JKB
근무하다	근무/NNG + 하/XSV + 다/EC
80년	80/SN + 년/NNB
문교부	문교부/NNG
감사관으로	감사관/NNG + 으로/JKB
교육	교육/NNG
행정에	행정/NNG + 에/JKB
입문.	입문/NNG + ./SF

소주를	소주/NNG + 를/JKO
즐겨	즐기/VV + 어/EC
마시고	마시/VV + 고/EC
검소하고	검소/NNG + 하/XSA + 고/EC
소탈한	소탈/NNG + 하/XSA + ㄴ/ETM
성격.	성격/NNG + ./SF

▴	▴/SW
경남	경남/NNP
고성·50세	고성/NNP + ·/SP + 50/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
법대	법대/NNG
▴	▴/SW
민정당	민정당/NNP
문교전문위원	문교/NNG + 전문/NNG + 위원/NNG
▴	▴/SW
국립중앙도서관장	국립중앙도서관장/NNG
▴	▴/SW
문교부	문교부/NNG
대학정책실장	대학/NNG + 정책실장/NNG
▴	▴/SW
교육부	교육부/NNG
기획관리실장	기획/NNG + 관리/NNG + 실장/NNG

서울대	서울대/NNP
법학과에	법학/NNG + 과/NNG + 에/JKB
입학했다가	입학/NNG + 하/XSV + 았/EP + 다가/EC
적성이	적성/NNG + 이/JKS
안	안/MAG
맞아	맞/VV + 아/EC
학과를	학과/NNG + 를/JKO
