"내일	"/SS + 내일/NNG

국민으로부터	국민/NNG + 으로부터/JKB
고립된	고립/NNG + 되/XSV + ㄴ/ETM
대통령은	대통령/NNG + 은/JX
자신이	자신/NNG + 이/JKS
고립돼	고립/NNG + 되/XSV + 어/EC
있다는	있/VX + 다는/ETM
사실조차	사실/NNG + 조차/JX
모르기	모르/VV + 기/ETN
십상이다.	십상/NNG + 이/VCP + 다/EF + ./SF

국민으로부터	국민/NNG + 으로부터/JKB
고립되기	고립/NNG + 되/XSV + 기/ETN
전에	전/NNG + 에/JKB
먼저	먼저/MAG
측근으로부터	측근/NNG + 으로부터/JKB
고립돼	고립/NNG + 되/XSV + 어/EC
버렸기	버리/VX + 었/EP + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

그래서	그래서/MAJ
전처럼,	전/NNG + 처럼/JKB + ,/SP
아니	아니/IC
전보다	전/NNG + 보다/JKB
더	더/MAG
열심히	열심히/MAG
국정에	국정/NNG + 에/JKB
몰두하려고	몰두/NNG + 하/XSV + 려고/EC
한다.	하/VX + ㄴ다/EF + ./SF

문제는	문제/NNG + 는/JX
그러면	그러/VV + 면/EC
그럴수록	그렇/VA + ㄹ수록/EC
나라	나라/NNG
안팎이	안팎/NNG + 이/JKS
꼬이고	꼬이/VV + 고/EC
헝클어지게	헝클어지/VV + 게/EC
된다는	되/VV + ㄴ다는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

대통령의	대통령/NNG + 의/JKG
손발인	손발/NNG + 이/VCP + ㄴ/ETM
관료들과	관료/NNG + 들/XSN + 과/JC
나라	나라/NNG
밖	밖/NNG
적(敵)들은	적/NNG + (/SS + 敵/SH + )/SS + 들/XSN + 은/JX
국민의	국민/NNG + 의/JKG
지지라는	지지/NNG + 이/VCP + 라는/ETM
'후방	'/SS + 후방/NNG
지원'을	지원/NNG + '/SS + 을/JKO
받지	받/VV + 지/EC
못하는	못하/VX + 는/ETM
대통령의	대통령/NNG + 의/JKG
무력(無力)함을	무력/NNG + (/SS + 無力/SH + )/SS + 하/XSV + ㅁ/ETN + 을/JKO
환히	환히/MAG
뚫어보고	뚫/VV + 어/EC + 보/VX + 고/EC
있기	있/VX + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

김	김/NNP
대통령만	대통령/NNG + 만/JX
이런	이런/MM
게	것/NNB + 이/JKC
아니다.	아니/VCN + 다/EF + ./SF

20여년	20/SN + 여/XSN + 년/NNB
전,	전/NNG + ,/SP
당시	당시/NNG
미국	미국/NNP
대통령	대통령/NNG
지미	지미/NNP
카터도	카터/NNP + 도/JX
그랬다.	그렇/VA + 었/EP + 다/EF + ./SF

그도	그/NP + 도/JX
측근으로부터,	측근/NNG + 으로부터/JKB + ,/SP
이어	잇/VV + 어/EC
국민으로부터	국민/NNG + 으로부터/JKB
고립되는	고립/NNG + 되/XSV + 는/ETM
코스를	코스/NNG + 를/JKO
밟아	밟/VV + 아/EC
나갔다.	나가/VX + 았/EP + 다/EF + ./SF

요즘도	요즘/NNG + 도/JX
미국의	미국/NNP + 의/JKG
새	새/MM
대통령이	대통령/NNG + 이/JKS
백악관	백악관/NNP
참모진과	참모진/NNG + 과/JC
내각을	내각/NNG + 을/JKO
구성할	구성/NNG + 하/XSV + ㄹ/ETM
때나,	때/NNG + 나/JC + ,/SP
의회나	의회/NNG + 나/JC
언론과의	언론/NNG + 과/JKB + 의/JKG
관계를	관계/NNG + 를/JKO
새로	새로/MAG
설정할	설정/NNG + 하/XSV + ㄹ/ETM
때면	때/NNG + 이/VCP + 면/EC
'카터화(化)	'/SS + 카터/NNP + 화/XSN + (/SS + 化/SH + )/SS
(Carterization)'란	(/SS + Carterization/SL + )/SS + '/SS + 이/VCP + 란/ETM
단어가	단어/NNG + 가/JKS
종종	종종/MAG
얼굴을	얼굴/NNG + 을/JKO
내민다.	내밀/VV + ㄴ다/EF + ./SF

그리고	그리고/MAJ
그때마다	그때/NNG + 마다/JX
어떻게든	어떻/VA + 게/EC + 든/JX
'제2의	'/SS + 제/XPN + 2/SN + 의/JKG
카터'가	카터/NNP + '/SS + 가/JKC
되는	되/VV + 는/ETM
일만은	일/NNG + 만/JX + 은/JX
피해야겠다는	피하/VV + 아야/EC + 하/VX + 겠/EP + 다는/ETM
다짐을	다짐/NNG + 을/JKO
일깨우는	일깨우/VV + 는/ETM
반면(反面)교사	반면/NNG + (/SS + 反面/SH + )/SS + 교사/NNG
역할을	역할/NNG + 을/JKO
톡톡히	톡톡히/MAG
해냈다.	해내/VV + 었/EP + 다/EF + ./SF

사실	사실/MAG
김	김/NNP
대통령과	대통령/NNG + 과/JC
카터는	카터/NNP + 는/JX
여러	여러/MM
모로	모/NNG + 로/JKB
어울리는	어울리/VV + 는/ETM
면이	면/NNG + 이/JKS
많다.	많/VA + 다/EF + ./SF

우선	우선/MAG
'도덕'	'/SS + 도덕/NNG + '/SS
'인권'	'/SS + 인권/NNG + '/SS
'민주'라는	'/SS + 민주/NNG + '/SS + 이/VCP + 라는/ETM
단어를	단어/NNG + 를/JKO
가장	가장/MAG
자주	자주/MAG
사용했던	사용/NNG + 하/XSV + 았/EP + 던/ETM
대통령이다.	대통령/NNG + 이/VCP + 다/EF + ./SF

기득권	기득/NNG + 권/XSN
세력에	세력/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
적대감을	적대감/NNG + 을/JKO
지녔던	지니/VV + 었/EP + 던/ETM
것도	것/NNB + 도/JX
비슷하다.	비슷/XR + 하/XSA + 다/EF + ./SF

언론과의	언론/NNG + 과/JKB + 의/JKG
관계도	관계/NNG + 도/JX
그렇다.	그렇/VA + 다/EF + ./SF

사고뭉치	사고뭉치/NNG
동생	동생/NNG
빌리	빌리/NNP
카터의	카터/NNP + 의/JKG
스캔들	스캔들/NNG
기사를	기사/NNG + 를/JKO
전략무기	전략/NNG + 무기/NNG
감축협상	감축/NNG + 협상/NNG
기사보다	기사/NNG + 보다/JKB
7배나	7/SN + 배/NNG + 나/JX
많이	많이/MAG
내	내/VV + 어/EC
보낸다며	보내/VV + ㄴ다며/EC
늘	늘/MAG
툴툴거렸다.	툴툴거리/VV + 었/EP + 다/EF + ./SF

어쩌면	어쩌면/MAG
문제된	문제/NNG + 되/XSV + ㄴ/ETM
아태재단의	아태재단/NNP + 의/JKG
설립과	설립/NNG + 과/JC
운영에	운영/NNG + 에/JKB
관한	관하/VV + ㄴ/ETM
힌트도	힌트/NNG + 도/JX
퇴임	퇴임/NNG
후	후/NNG
카터의	카터/NNP + 의/JKG
활동근거가	활동/NNG + 근거/NNG + 가/JKC
된	되/VV + ㄴ/ETM
카터센터에서	카터센터/NNP + 에서/JKB
비롯됐을지도	비롯/XR + 되/XSV + 었/EP + 을지/EC + 도/JX
모른다.	모르/VV + ㄴ다/EF + ./SF

이	이/MM
카터의	카터/NNP + 의/JKG
임기	임기/NNG
후반은	후반/NNG + 은/JX
나라	나라/NNG
안팎	안팎/NNG
여기저기서	여기저기/NNG + 서/JKB
와장창	와장창/MAG
소리가	소리/NNG + 가/JKS
요란스러웠다.	요란/NNG + 스럽/XSA + 었/EP + 다/EF + ./SF

그러나	그러나/MAJ
뭐니뭐니	뭐/NP + 이/VCP + 니/EC + 뭐/NP + 이/VCP + 니/EC
해도	하/VV + 아도/EC
정권의	정권/NNG + 의/JKG
명(命)을	명/NNB + (/SS + 命/SH + )/SS + 을/JKO
끊어버린	끊/VV + 어/EC + 버리/VX + ㄴ/ETM
것은	것/NNB + 은/JX
카터가	카터/NNP + 가/JKS
'트레이드	'/SS + 트레이드/NNG
마크'처럼	마크/NNG + '/SS + 처럼/JKB
애지중지했던	애지중지/MAG + 하/XSV + 았/EP + 던/ETM
도덕과	도덕/NNG + 과/JC
인권외교의	인권/NNG + 외교/NNG + 의/JKG
붕괴다.	붕괴/NNG + 이/VCP + 다/EF + ./SF

중남미가	중남미/NNP + 가/JKS
흔들리고,	흔들리/VV + 고/EC + ,/SP
이란이	이란/NNP + 이/JKS
무너지고,	무너지/VV + 고/EC + ,/SP
그	그/MM
결과	결과/NNG
석유쇼크가	석유/NNG + 쇼크/NNG + 가/JKS
덮치면서	덮치/VV + 면서/EC
국민의	국민/NNG + 의/JKG
마음은	마음/NNG + 은/JX
카터를	카터/NNP + 를/JKO
떠났다.	떠나/VV + 았/EP + 다/EF + ./SF

이어	잇/VV + 어/EC
테헤란	테헤란/NNP
미	미/NNP
대사관	대사관/NNG
인질사건과	인질/NNG + 사건/NNG + 과/JC
그	그/MM
인질	인질/NNG
구출작전에	구출/NNG + 작전/NNG + 에/JKB
나선	나서/VV + ㄴ/ETM
헬리콥터의	헬리콥터/NNG + 의/JKG
추락은	추락/NNG + 은/JX
카터시대를	카터/NNP + 시대/NNG + 를/JKO
매장했다.	매장/NNG + 하/XSV + 았/EP + 다/EF + ./SF

"각하,	"/SS + 각하/NNG + ,/SP
각하는	각하/NNG + 는/JX
미국을	미국/NNP + 을/JKO
통치하고	통치/NNG + 하/XSV + 고/EC
있는	있/VX + 는/ETM
것이	것/NNB + 이/JKC
아닙니다.	아니/VCN + ㅂ니다/EF + ./SF

행정부를	행정부/NNG + 를/JKO
관리하고	관리/NNG + 하/XSV + 고/EC
있을	있/VX + 을/ETM
뿐입니다."	뿐/NNB + 이/VCP + ㅂ니다/EF + ./SF + "/SS

1979년	1979/SN + 년/NNB
가을	가을/NNG
각계	각계/NNG
원로는	원로/NNG + 는/JX
캠프	캠프/NNG
데이비드에서	데이비드/NNP + 에서/JKB
카터를	카터/NNP + 를/JKO
만나	만나/VV + 아/EC
이	이/MM
진실을	진실/NNG + 을/JKO
전했다.	전하/VV + 았/EP + 다/EF + ./SF

뉴욕타임스(NYT)지(紙)의	뉴욕타임스/NNP + (/SS + NYT/SL + )/SS + 지/NNG + (/SS + 紙/SH + )/SS + 의/JKG
레스턴은	레스턴/NNP + 은/JX
카터의	카터/NNP + 의/JKG
실패	실패/NNG
원인으로	원인/NNG + 으로/JKB
적들에게	적/NNG + 들/XSN + 에게/JKB
"까불면	"/SS + 까불/VV + 면/EC
재미	재미/NNG
없어"라는	없/VA + 어/EC + "/SS + 이/VCP + 라는/ETM
식의	식/NNB + 의/JKG
두려움을	두려움/NNG + 을/JKO
주지	주/VV + 지/EC
못한	못하/VX + ㄴ/ETM
리더십을	리더십/NNG + 을/JKO
들었다.	들/VV + 었/EP + 다/EF + ./SF

자기	자기/NP
패를	패/NNG + 를/JKO
상대에게	상대/NNG + 에게/JKB
먼저	먼저/MAG
보여준	보이/VV + 어/EC + 주/VX + ㄴ/ETM
탓이다.	탓/NNG + 이/VCP + 다/EF + ./SF

어디	어디/IC
그	그/MM
탓만일까.	탓/NNG + 만/JX + 이/VCP + ㄹ까/EF + ./SF

76년	76/SN + 년/NNB
3월	3/SN + 월/NNB
카터는	카터/NNP + 는/JX
주한미군	주한/NNG + 미군/NNG
철수정책	철수/NNG + 정책/NNG
검토와	검토/NNG + 와/JKB
관련한	관련/NNG + 하/XSV + ㄴ/ETM
메모를	메모/NNG + 를/JKO
보좌진에게	보좌진/NNG + 에게/JKB
내려	내리/VV + 어/EC
보냈다.	보내/VV + 었/EP + 다/EF + ./SF

"대통령이	"/SS + 대통령/NNG + 이/JKS
원하는	원하/VV + 는/ETM
것은	것/NNB + 은/JX
철군의	철군/NNG + 의/JKG
방법이지,	방법/NNG + 이/VCP + 지/EC + ,/SP
정책에	정책/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
찬반이	찬반/NNG + 이/JKC
아니다."	아니/VCN + 다/EF + ./SF + "/SS

바로	바로/MAG
그	그/MM
순간부터	순간/NNG + 부터/JX
측근과	측근/NNG + 과/JC
관료들은	관료/NNG + 들/XSN + 은/JX
철군반대에서	철군/NNG + 반대/NNG + 에서/JKB
철군찬성으로	철군/NNG + 찬성/NNG + 으로/JKB
줄줄이	줄줄이/MAG
말을	말/NNG + 을/JKO
바꿨다.	바꾸/VV + 었/EP + 다/EF + ./SF

명분은	명분/NNG + 은/JX
대통령과	대통령/NNG + 과/JKB
다툴	다투/VV + ㄹ/ETM
수	수/NNB
없다는	없/VA + 다는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

윗사람이	윗사람/NNG + 이/JKS
아랫사람의	아랫사람/NNG + 의/JKG
이의(異議)제기	이의/NNG + (/SS + 異議/SH + )/SS + 제기/NNG
통로를	통로/NNG + 를/JKO
막아	막/VV + 아/EC
버릴	버리/VX + ㄹ/ETM
때,	때/NNG + ,/SP
면종복배(面從腹背)는	면종복배/NNG + (/SS + 面從腹背/SH + )/SS + 는/JX
아랫사람의	아랫사람/NNG + 의/JKG
자위수단이다.	자위/NNG + 수단/NNG + 이/VCP + 다/EF + ./SF

그래서	그래서/MAJ
카터는	카터/NNP + 는/JX
'진실'과	'/SS + 진실/NNG + '/SS + 과/JC
'측근'과	'/SS + 측근/NNG + '/SS + 과/JC
'관료',	'/SS + 관료/NNG + '/SS + ,/SP
그리고	그리고/MAJ
마지막으로	마지막/NNG + 으로/JKB
국민으로부터도	국민/NNG + 으로부터/JKB + 도/JX
고립돼	고립/NNG + 되/XSV + 어/EC
버린	버리/VX + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

대통령의	대통령/NNG + 의/JKG
집념이	집념/NNG + 이/JKS
집착으로	집착/NNG + 으로/JKB
변하고,	변하/VV + 고/EC + ,/SP
원칙고수(固守)가	원칙/NNG + 고수/NNG + (/SS + 固守/SH + )/SS + 가/JKS
현실외면으로	현실/NNG + 외면/NNG + 으로/JKB
변해가면,	변하/VV + 아/EC + 가/VX + 면/EC + ,/SP
누구도	누구/NP + 도/JX
대통령에게	대통령/NNG + 에게/JKB
구명밧줄을	구명/NNG + 밧줄/NNG + 을/JKO
던져줄	던지/VV + 어/EC + 주/VX + ㄹ/ETM
수	수/NNB
없는	없/VA + 는/ETM
법이다.	법/NNG + 이/VCP + 다/EF + ./SF

대통령만이	대통령/NNG + 만/JX + 이/JKS
대통령을	대통령/NNG + 을/JKO
구출할	구출/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

이것이	이것/NP + 이/JKS
'햇볕'	'/SS + 햇볕/NNG + '/SS
논란	논란/NNG
속의	속/NNG + 의/JKG
김	김/NNP
대통령이	대통령/NNG + 이/JKS
직면하고	직면/NNG + 하/XSV + 고/EC
있는	있/VX + 는/ETM
상황의	상황/NNG + 의/JKG
본질이다.	본질/NNG + 이/VCP + 다/EF + ./SF

지난주	지난주/NNG
토요일,	토요일/NNG + ,/SP
아내와	아내/NNG + 와/JC
나는	나/NP + 는/JX
어느	어느/MM
한국인들의	한국인/NNG + 들/XSN + 의/JKG
자발적	자발/NNG + 적/XSN
친절에	친절/NNG + 에/JKB
대단히	대단히/MAG
감동을	감동/NNG + 을/JKO
받아	받/VV + 아/EC
이	이/MM
사실을	사실/NNG + 을/JKO
널리	널리/MAG
알리고	알리/VV + 고/EC
싶은	싶/VX + 은/ETM
마음이	마음/NNG + 이/JKS
들었다.	들/VV + 었/EP + 다/EF + ./SF

우리는	우리/NP + 는/JX
대사관	대사관/NNG
인근으로	인근/NNG + 으로/JKB
초저녁	초저녁/NNG
산책을	산책/NNG + 을/JKO
나갔다.	나가/VV + 았/EP + 다/EF + ./SF

태풍은	태풍/NNG + 은/JX
이제	이제/MAG
지나간	지나가/VV + ㄴ/ETM
듯했고,	듯/NNB + 하/XSA + 았/EP + 고/EC + ,/SP
그래서	그래서/MAJ
우리는	우리/NP + 는/JX
맑은	맑/VA + 은/ETM
공기를	공기/NNG + 를/JKO
좀	좀/MAG
쐴	쐬/VV + ㄹ/ETM
작정이었다.	작정/NNG + 이/VCP + 었/EP + 다/EF + ./SF

우리는	우리/NP + 는/JX
관저에서	관저/NNG + 에서/JKB
걸어서	걷/VV + 어서/EC
10분	10/SN + 분/NNB
정도의	정도/NNG + 의/JKG
거리에	거리/NNG + 에/JKB
떨어져	떨어지/VV + 어/EC
있는	있/VX + 는/ETM
정동의	정동/NNP + 의/JKG
서울	서울/NNP
시립미술관을	시립/NNG + 미술관/NNG + 을/JKO
둘러보기로	둘러보/VV + 기/ETN + 로/JKB
했다.	하/VX + 았/EP + 다/EF + ./SF

가	가/VV + 아/EC
보니,	보/VX + 니/EC + ,/SP
미술관은	미술관/NNG + 은/JX
이미	이미/MAG
문이	문/NNG + 이/JKS
닫혀	닫히/VV + 어/EC
있었다.	있/VX + 었/EP + 다/EF + ./SF

우리는	우리/NP + 는/JX
발길을	발길/NNG + 을/JKO
돌려	돌리/VV + 어/EC
밖으로	밖/NNG + 으로/JKB
나왔다.	나오/VV + 았/EP + 다/EF + ./SF

그런데	그런데/MAJ
뜻밖에	뜻밖에/MAG
갑자기	갑자기/MAG
소나기가	소나기/NNG + 가/JKS
퍼붓기	퍼붓/VV + 기/ETN
시작했다.	시작/NNG + 하/XSV + 았/EP + 다/EF + ./SF

우리는	우리/NP + 는/JX
우산도	우산/NNG + 도/JX
없었고	없/VA + 었/EP + 고/EC
비를	비/NNG + 를/JKO
피할	피하/VV + ㄹ/ETM
곳도	곳/NNG + 도/JX
없었다.	없/VA + 었/EP + 다/EF + ./SF

옷이	옷/NNG + 이/JKS
흠뻑	흠뻑/MAG
젖기	젖/VV + 기/ETN
시작했다.	시작/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그때	그때/NNG
우리	우리/NP
곁을	곁/NNG + 을/JKO
걷고	걷/VV + 고/EC
있던	있/VX + 던/ETM
젊은	젊/VA + 은/ETM
한국인	한국인/NNG
남녀	남녀/NNG
한쌍이	하/VV + ㄴ/ETM + 쌍/NNG + 이/JKS
우리에게	우리/NP + 에게/JKB
다가왔다.	다가오/VV + 았/EP + 다/EF + ./SF

두	두/MM
사람은	사람/NNG + 은/JX
각각	각각/MAG
우산을	우산/NNG + 을/JKO
갖고	갖/VV + 고/EC
있었는데,	있/VX + 었/EP + 는데/EC + ,/SP
그	그/MM
가운데	가운데/NNG
하나를	하나/NR + 를/JKO
우리에게	우리/NP + 에게/JKB
건네주는	건네주/VV + 는/ETM
것이었다.	것/NNB + 이/VCP + 었/EP + 다/EF + ./SF

그리고	그리고/MAJ
두	두/MM
사람은	사람/NNG + 은/JX
말	말/NNG
없이	없이/MAG
그냥	그냥/MAG
사라졌다.	사라지/VV + 었/EP + 다/EF + ./SF

특히	특히/MAG
올해는	올해/NNG + 는/JX
외국인들에게	외국인/NNG + 들/XSN + 에게/JKB
한국에	한국/NNP + 에/JKB
관광	관광/NNG
오도록	오/VV + 도록/EC
하기	하/VV + 기/ETN
위한	위하/VV + ㄴ/ETM
많은	많/VA + 은/ETM
노력들이	노력/NNG + 들/XSN + 이/JKS
펼쳐지고	펼쳐지/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

월드컵은	월드컵/NNG + 은/JX
한국을	한국/NNP + 을/JKO
세계에	세계/NNG + 에/JKB
알리는	알리/VV + 는/ETM
데	데/NNB
더없이	더없이/MAG
좋은	좋/VA + 은/ETM
계기가	계기/NNG + 가/JKC
되었다.	되/VV + 었/EP + 다/EC + ./SF

잉글랜드는	잉글랜드/NNP + 는/JX
월드컵	월드컵/NNG
경기를	경기/NNG + 를/JKO
일본에서	일본/NNP + 에서/JKB
하게	하/VV + 게/EC
됐지만,	되/VV + 었/EP + 지만/EC + ,/SP
상당수의	상당수/NNG + 의/JKG
영국	영국/NNP
축구	축구/NNG
팬들은	팬/NNG + 들/XSN + 은/JX
한국도	한국/NNP + 도/JX
함께	함께/MAG
방문하는	방문/NNG + 하/XSV + 는/ETM
기회를	기회/NNG + 를/JKO
가졌다.	가지/VV + 었/EP + 다/EF + ./SF

그들은	그/NP + 들/XSN + 은/JX
월드컵	월드컵/NNG
경기장의	경기장/NNG + 의/JKG
훌륭한	훌륭/XR + 하/XSA + ㄴ/ETM
시설과	시설/NNG + 과/JC
편리한	편리/NNG + 하/XSA + ㄴ/ETM
교통체계,	교통/NNG + 체계/NNG + ,/SP
그리고	그리고/MAJ
대회	대회/NNG
지원을	지원/NNG + 을/JKO
위한	위하/VV + ㄴ/ETM
각종	각종/NNG
조직체계에	조직/NNG + 체계/NNG + 에/JKB
강한	강/XR + 하/XSA + ㄴ/ETM
인상을	인상/NNG + 을/JKO
받았다.	받/VV + 았/EP + 다/EF + ./SF

하지만	하지만/MAJ
외국인에게	외국인/NNG + 에게/JKB
한국을	한국/NNP + 을/JKO
좋아하게	좋아하/VV + 게/EC
만드는	만들/VV + 는/ETM
데	데/NNB
있어서	있/VV + 어서/EC
내가	내/NP + 가/JKS
겪었던,	겪/VV + 었/EP + 던/ETM + ,/SP
이	이/MM
젊은	젊/VA + 은/ETM
커플이	커플/NNG + 이/JKS
보여주었던	보이/VV + 어/EC + 주/VX + 었/EP + 던/ETM
것과	것/NNB + 과/JKB
같은	같/VA + 은/ETM
개인의	개인/NNG + 의/JKG
친절한	친절/NNG + 하/XSA + ㄴ/ETM
행동을	행동/NNG + 을/JKO
능가하는	능가/NNG + 하/XSV + 는/ETM
것은	것/NNB + 은/JX
없을	없/VA + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그	그/MM
젊은	젊/VA + 은/ETM
커플은	커플/NNG + 은/JX
우리가	우리/NP + 가/JKS
누군지를	누구/NP + 이/VCP + ㄴ지/EC + 를/JKO
전혀	전혀/MAG
알지	알/VV + ㄹ지/EC
못하고	못하/VX + 고/EC
있었고,	있/VX + 었/EP + 고/EC + ,/SP
그러면서도	그러/VV + 면서/EC + 도/JX
자연스럽게	자연/NNG + 스럽/XSA + 게/EC
그	그/MM
같은	같/VA + 은/ETM
친절을	친절/NNG + 을/JKO
베풀었다.	베풀/VV + 었/EP + 다/EF + ./SF

이	이/MM
기회를	기회/NNG + 를/JKO
통해	통하/VV + 아/EC
그들에게	그/NP + 들/XSN + 에게/JKB
진심으로	진심/NNG + 으로/JKB
감사를	감사/NNG + 를/JKO
전하고자	전하/VV + 고자/EC
하며,	하/VX + 며/EC + ,/SP
또한	또한/MAG
우산을	우산/NNG + 을/JKO
되돌려주고	되돌리/VV + 어/EC + 주/VX + 고/EC
싶다.	싶/VX + 다/EF + ./SF

그들이	그/NP + 들/XSN + 이/JKS
혹시라도	혹시/MAG + 이/VCP + 라도/EC
이	이/MM
글을	글/NNG + 을/JKO
읽고	읽/VV + 고/EC
나에게나	나/NP + 에게/JKB + 나/JX
영국대사관으로	영국/NNP + 대사관/NNG + 으로/JKB
연락을	연락/NNG + 을/JKO
주었으면	주/VV + 었/EP + 으면/EC
좋겠다.	좋/VA + 겠/EP + 다/EF + ./SF

◈월드컵	◈/SW + 월드컵/NNG
재방·기사	재방/NNG + ·/SP + 기사/NNG
자제를	자제/NNG + 를/JKO

2002년	2002/SN + 년/NNB
6월	6/SN + 월/NNB
우리나라는	우리나라/NNG + 는/JX
월드컵	월드컵/NNG
4강을	4/SN + 강/NNG + 을/JKO
이룩하였다.	이룩/XR + 하/XSV + 았/EP + 다/EF + ./SF

이제	이제/MAG
황홀했던	황홀/NNG + 하/XSA + 았/EP + 던/ETM
꿈에서	꿈/NNG + 에서/JKB
깨어나	깨어나/VV + 아/EC
일상업무로	일상/NNG + 업무/NNG + 로/JKB
돌아와야	돌아오/VV + 아야/EC
할	하/VX + ㄹ/ETM
때이다.	때/NNG + 이/VCP + 다/EF + ./SF

우리들이	우리/NP + 들/XSN + 이/JKS
마음을	마음/NNG + 을/JKO
진정시킬	진정/NNG + 시키/XSV + ㄹ/ETM
수	수/NNB
있도록	있/VV + 도록/EC
방송이나	방송/NNG + 이나/JC
신문에서도	신문/NNG + 에서/JKB + 도/JX
월드컵	월드컵/NNG
재방송이나	재/XPN + 방송/NNG + 이나/JC
월드컵	월드컵/NNG
기사를	기사/NNG + 를/JKO
자제해	자제/NNG + 하/XSV + 아/EC
주었으면	주/VX + 었/EP + 으면/EC
한다.	하/VX + ㄴ다/EF + ./SF

이런	이런/MM
측면에서	측면/NNG + 에서/JKB
볼	보/VV + ㄹ/ETM
때,	때/NNG + ,/SP
네덜란드인	네덜란드인/NNG
축구감독	축구/NNG + 감독/NNG
히딩크는	히딩크/NNP + 는/JX
대단히	대단히/MAG
현명한	현명/NNG + 하/XSA + ㄴ/ETM
사람이다.	사람/NNG + 이/VCP + 다/EF + ./SF

그는	그/NP + 는/JX
세계를	세계/NNG + 를/JKO
놀라게	놀라/VV + 게/EC
하고,	하/VV + 고/EC + ,/SP
대한민국과	대한민국/NNP + 과/JC
우리	우리/NP
국민,	국민/NNG + ,/SP
우리	우리/NP
상품의	상품/NNG + 의/JKG
위상을	위상/NNG + 을/JKO
새삼	새삼/MAG
느끼게	느끼/VV + 게/EC
해주었다.	하/VV + 아/EC + 주/VX + 었/EP + 다/EF + ./SF

먼	멀/VA + ㄴ/ETM
나라에서	나라/NNG + 에서/JKB
사랑하는	사랑/NNG + 하/XSV + 는/ETM
사람과	사람/NNG + 과/JKB
함께	함께/MAG
날아와	날아오/VV + 아/EC
자신의	자신/NNG + 의/JKG
자질과	자질/NNG + 과/JC
운으로	운/NNG + 으로/JKB
성공하여	성공/NNG + 하/XSV + 아/EC
다시	다시/MAG
고국을	고국/NNG + 을/JKO
찾는	찾/VV + 는/ETM
것을	것/NNB + 을/JKO
보면	보/VV + 면/EC
복도	복도/NNG
많은	많/VA + 은/ETM
사람이다.	사람/NNG + 이/VCP + 다/EF + ./SF

밥맛이	밥맛/NNG + 이/JKS
좋을	좋/VA + 을/ETM
때	때/NNG
숟가락을	숟가락/NNG + 을/JKO
놓을	놓/VV + 을/ETM
수	수/NNB
있는	있/VV + 는/ETM
결단을	결단/NNG + 을/JKO
할	하/VV + ㄹ/ETM
줄	줄/NNB
아는	알/VV + 는/ETM
사람이	사람/NNG + 이/JKS
현명한	현명/NNG + 하/XSA + ㄴ/ETM
사람이다.	사람/NNG + 이/VCP + 다/EF + ./SF

운동경기나	운동/NNG + 경기/NNG + 나/JC
증권·경마·화투	증권/NNG + ·/SP + 경마/NNG + ·/SP + 화투/NNG
같은	같/VA + 은/ETM
것도	것/NNB + 도/JX
마찬가지이다.	마찬가지/NNG + 이/VCP + 다/EF + ./SF

욕심은	욕심/NNG + 은/JX
모든	모든/MM
일을	일/NNG + 을/JKO
망치게	망치/VV + 게/EC
한다.	하/VV + ㄴ다/EF + ./SF

잔치도	잔치/NNG + 도/JX
오래	오래/MAG
끌면	끌/VV + 면/EC
기력이	기력/NNG + 이/JKS
떨어지고	떨어지/VV + 고/EC
시들해져	시들/XR + 하/XSA + 아/EC + 지/VX + 어/EC
흥겨움이	흥겹/VA + ㅁ/ETN + 이/JKS
감소한다.	감소/NNG + 하/XSV + ㄴ다/EF + ./SF

2002년	2002/SN + 년/NNB
6월	6/SN + 월/NNB
국민	국민/NNG
모두가	모두/NNG + 가/JKS
힘을	힘/NNG + 을/JKO
모아	모으/VV + 아/EC
흥겹게	흥겹/VA + 게/EC
한껏	한껏/MAG
한풀이를	한풀이/NNG + 를/JKO
하였으니,	하/VV + 았/EP + 으니/EC + ,/SP
이제	이제/MAG
대한민국을	대한민국/NNP + 을/JKO
세계	세계/NNG
경제	경제/NNG
4강의	4/SN + 강/NNG + 의/JKG
자리에	자리/NNG + 에/JKB
올려놓을	올려놓/VV + 을/ETM
수	수/NNB
있도록	있/VV + 도록/EC
자기	자기/NP
자리를	자리/NNG + 를/JKO
찾아가	찾아가/VV + 아/EC
자기	자기/NP
일에	일/NNG + 에/JKB
최선을	최선/NNG + 을/JKO
다하자.	다/MAG + 하/VV + 자/EF + ./SF

/최방우	//SP + 최방우/NNP
