엊그제	엊그제/NNG

그런데	그런데/MAJ
그러한	그러/XR + 하/XSA + ㄴ/ETM
'기존	'/SS + 기존/NNG
상식'이	상식/NNG + '/SS + 이/JKS
50점이라는	50/SN + 점/NNG + 이/VCP + 라는/ETM
무참한	무참/XR + 하/XSA + ㄴ/ETM
점수로	점수/NNG + 로/JKB
깨지고	깨지/VV + 고/EC
만	말/VX + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

이	이/NP
같은	같/VA + 은/ETM
오판,	오판/NNG + ,/SP
상식과	상식/NNG + 과/JC
현실의	현실/NNG + 의/JKG
엄청난	엄청나/VA + ㄴ/ETM
괴리는	괴리/NNG + 는/JX
대체	대체/MAG
어떤	어떤/MM
연유에서	연유/NNG + 에서/JKB
비롯되는	비롯/XR + 되/XSV + 는/ETM
것일까.	것/NNB + 이/VCP + ㄹ까/EF + ./SF

그리고	그리고/MAJ
기성	기성/NNG
정치권은	정치/NNG + 권/XSN + 은/JX
어떠한	어떠/XR + 하/XSA + ㄴ/ETM
교훈을	교훈/NNG + 을/JKO
여기서	여기/NP + 서/JKB
얻어야	얻/VV + 어야/EC
하는	하/VX + 는/ETM
것일까.	것/NNB + 이/VCP + ㄹ까/EF + ./SF

여야가	여야/NNG + 가/JKS
지난	지나/VV + ㄴ/ETM
연말	연말/NNG
국회에서	국회/NNG + 에서/JKB
지자제제법에	지자제/NNG + 지법/NNG + 에/JKB
합의,	합의/NNG + ,/SP
그	그/MM
일정까지	일정/NNG + 까지/JX
밝히고	밝히/VV + 고/EC
서로	서로/MAG
만족해하는	만족/NNG + 하/XSA + 아/EC + 하/VV + 는/ETM
표정을	표정/NNG + 을/JKO
지을	짓/VV + 을/ETM
때까지만	때/NNG + 까지/JX + 만/JX
해도,	하/VV + 아도/EC + ,/SP
전국은	전국/NNG + 은/JX
30년	30/SN + 년/NNB
만의	만/NNB + 의/JKG
'풀	'/SS + 풀/NNG
뿌리	뿌리/NNG
민주주의시대'의	민주주의/NNG + 시대/NNG + '/SS + 의/JKG
도래를	도래/NNG + 를/JKO
기리며,	기리/VV + 며/EC + ,/SP
분명	분명/MAG
술렁거리는	술렁거리/VV + 는/ETM
것	것/NNB
같았다.	같/VA + 았/EP + 다/EF + ./SF

자-타천의	자/NNG + -/SS + 타천/NNG + 의/JKG
지망생들이	지망/NNG + 생/XSN + 들/XSN + 이/JKS
곳곳에서	곳곳/NNG + 에서/JKB
분주해	분주/NNG + 하/XSA + 아/EC
하는	하/VX + 는/ETM
가운데,	가운데/NNG + ,/SP
혹시라도	혹시/MAG + 이/VCP + 라도/EC
누군가	누구/NP + 이/VCP + ㄴ가/EC
지자제	지자제/NNG
상조론을	상조/NNG + 론/XSN + 을/JKO
펴려고	펴/VV + 려고/EC
하면,	하/VX + 면/EC + ,/SP
'반민주'로	'/SS + 반/XPN + 민주/NNG + '/SS + 로/JKB
몰리는	몰리/VV + 는/ETM
듯한	듯/NNB + 하/XSA + ㄴ/ETM
그러한	그러/XR + 하/XSA + ㄴ/ETM
세태였던	세태/NNG + 이/VCP + 었/EP + 던/ETM
것도	것/NNB + 도/JX
사실이다.	사실/NNG + 이/VCP + 다/EF + ./SF

곡절	곡절/NNG
끝에	끝/NNG + 에/JKB
지자제의	지자제/NNG + 의/JKG
기초-광역	기초/NNG + -/SS + 광역/NNG
분리	분리/NNG
선거로	선거/NNG + 로/JKB
낙착된	낙착/NNG + 되/XSV + ㄴ/ETM
뒤에도,	뒤/NNG + 에/JKB + 도/JX + ,/SP
특히	특히/MAG
야당의	야당/NNG + 의/JKG
경우	경우/NNG
'수서비리'를	'/SS + 수서/NNP + 비리/NNG + '/SS + 를/JKO
앞세워,	앞세우/VV + 어/EC + ,/SP
장외	장외/NNG
군중	군중/NNG
대회까지	대회/NNG + 까지/JX
여는	열/VV + 는/ETM
등	등/NNB
여당에	여당/NNG + 에/JKB
맹격을	맹격/NNG + 을/JKO
시도하면서	시도/NNG + 하/XSV + 면서/EC
일대	일대/MM
승리를	승리/NNG + 를/JKO
다짐했었다.	다짐/NNG + 하/XSV + 았었/EP + 다/EF + ./SF

그러나	그러나/MAJ
후보	후보/NNG
등록	등록/NNG
결과만	결과/NNG + 만/JX
해도	하/VV + 아도/EC
야당	야당/NNG
당적을	당적/NNG + 을/JKO
표시하고	표시/NNG + 하/XSV + 고/EC
나선	나서/VV + ㄴ/ETM
후보가	후보/NNG + 가/JKS
전체	전체/NNG
의원	의원/NNG
정수의	정수/NNG + 의/JKG
절반에도	절반/NNG + 에/JKB + 도/JX
근접하지	근접/NNG + 하/XSV + 지/EC
못하는	못하/VX + 는/ETM
한심한	한심/XR + 하/XSA + ㄴ/ETM
상황이	상황/NNG + 이/JKC
돼	되/VV + 어/EC
버렸다.	버리/VX + 었/EP + 다/EF + ./SF

왜	왜/MAG
이렇게	이렇/VA + 게/EC
맥이	맥/NNG + 이/JKS
빠져	빠지/VV + 어/EC
버렸을까.	버리/VX + 었/EP + 을까/EF + ./SF

민자당의	민자당/NNP + 의/JKG
경우,	경우/NNG + ,/SP
친여	친/XPN + 여/NNG
후보가	후보/NNG + 가/JKS
전체	전체/NNG
출마자의	출마자/NNG + 의/JKG
3분의	3/SN + 분/XSN + 의/JKG
2나	2/SN + 나/JX
된다고	되/VV + ㄴ다고/EC
희색이지만,	희색/NNG + 이/VCP + 지만/EC + ,/SP
'어찌하여	'/SS + 어찌/MAG + 하/XSV + 아/EC
경쟁률이	경쟁/NNG + 률/XSN + 이/JKS
2.35	2/SN + ./SP + 35/SN
대	대/NNB
1로	1/SN + 로/JKB
그쳤는가'에	그치/VV + 었/EP + 는가/EC + '/SS + 에/JKB
대한	대하/VV + ㄴ/ETM
해답은	해답/NNG + 은/JX
되지	되/VV + 지/EC
못한다.	못하/VX + ㄴ다/EF + ./SF

혹자는	혹자/NNG + 는/JX
'공명	'/SS + 공명/XR
선거	선거/NNG
분위기가	분위기/NNG + 가/JKS
너무	너무/MAG
엄해서',	엄하/VA + 아서/EC + '/SS + ,/SP
또	또/MAG
다른	다른/MM
사람들은	사람/NNG + 들/XSN + 은/JX
'정당	'/SS + 정당/NNG
관여를	관여/NNG + 를/JKO
너무	너무/MAG
막아서'라고	막/VV + 아서/EC + '/SS + 라고/JKQ
설명한다.	설명/NNG + 하/XSV + ㄴ다/EF + ./SF

'지자제가	'/SS + 지자제/NNG + 가/JKS
아직	아직/MAG
생소해서'라거나,	생소/XR + 하/XSA + 아서/EC + '/SS + 이/VCP + 라거나/EC + ,/SP
'기초	'/SS + 기초/NNG
의회	의회/NNG
의원	의원/NNG
감투는	감투/NNG + 는/JX
너무	너무/MAG
작아	작/VA + 아/EC
보여서'라는	보이/VV + 어서/EC + '/SS + 이/VCP + 라는/ETM
설명도	설명/NNG + 도/JX
있다.	있/VV + 다/EF + ./SF

그러나	그러나/MAJ
그	그/MM
어느	어느/MM
것도	것/NNB + 도/JX
충분한	충분/XR + 하/XSA + ㄴ/ETM
설명이라고	설명/NNG + 이/VCP + 라고/EC
할	하/VV + ㄹ/ETM
수는	수/NNB + 는/JX
없을	없/VA + 을/ETM
것	것/NNB
같다.	같/VA + 다/EF + ./SF

일련의	일련/NNG + 의/JKG
비리	비리/NNG
사건이	사건/NNG + 이/JKS
잇따르면서	잇따르/VV + 면서/EC
우리	우리/NP
모두가	모두/NNG + 가/JKS
이미	이미/MAG
의식했고	의식/NNG + 하/XSV + 았/EP + 고/EC
우려했던	우려/NNG + 하/XSV + 았/EP + 던/ETM
대로,	대로/NNB + ,/SP
"정치라면	"/SS + 정치/NNG + 이/VCP + 라면/EC
신물이	신물/NNG + 이/JKS
난다"는	나/VV + ㄴ다/EC + "/SS + 는/ETM
국민	국민/NNG
일반의	일반/NNG + 의/JKG
정치	정치/NNG
혐오증,	혐오증/NNG + ,/SP
정당	정당/NNG
혐오증이	혐오증/NNG + 이/JKS
극에	극/NNG + 에/JKB
달한	달하/VV + ㄴ/ETM
결과가	결과/NNG + 가/JKS
'2.35	'/SS + 2/SN + ./SP + 35/SN
대	대/NNB
1의	1/SN + 의/JKG
충격'을	충격/NNG + '/SS + 을/JKO
초래했다고	초래/NNG + 하/XSV + 았/EP + 다고/EC
할	하/VV + ㄹ/ETM
수밖에	수/NNB + 밖에/JX
없을	없/VA + 을/ETM
것	것/NNB
같다.	같/VA + 다/EF + ./SF

여야가	여야/NNG + 가/JKS
당초	당초/NNG
지자제법	지자제/NNG + 법/NNG
협상을	협상/NNG + 을/JKO
하면서,	하/VV + 면서/EC + ,/SP
'기초	'/SS + 기초/NNG
의회에	의회/NNG + 에/JKB
정당	정당/NNG
관여는	관여/NNG + 는/JX
안	안/MAG
된다'	되/VV + ㄴ다/EC + '/SS
'해야	'/SS + 하/VV + 아야/EC
한다'로	하/VX + ㄴ다/EC + '/SS + 로/JKB
옥신각신	옥신각신/NNG
했을	하/VV + 았/EP + 을/ETM
때만	때/NNG + 만/JX
해도,	하/VV + 아도/EC + ,/SP
정당	정당/NNG
관여론에도	관여/NNG + 론/XSN + 에/JKB + 도/JX
제법	제법/MAG
지지	지지/NNG
여론이	여론/NNG + 이/JKS
있었음을	있/VV + 었/EP + 음/ETN + 을/JKO
우리는	우리/NP + 는/JX
기억한다.	기억/NNG + 하/XSV + ㄴ다/EF + ./SF

그러나	그러나/MAJ
그	그/MM
후	후/NNG
노출되기	노출/NNG + 되/XSV + 기/ETN
시작한	시작/NNG + 하/XSV + ㄴ/ETM
우리	우리/NP
정치의	정치/NNG + 의/JKG
추악한	추악/XR + 하/XSA + ㄴ/ETM
모습은	모습/NNG + 은/JX
민심을	민심/NNG + 을/JKO
급냉시켰고,	급냉/NNG + 시키/XSV + 었/EP + 고/EC + ,/SP
그것은	그것/NP + 은/JX
평민당의	평민당/NNP + 의/JKG
보라매	보라매/NNG
집회	집회/NNG
실패에서도	실패/NNG + 에서/JKB + 도/JX
재확인됐다.	재/XPN + 확인/NNG + 되/XSV + 었/EP + 다/EF + ./SF

보라매	보라매/NNG
집회의	집회/NNG + 의/JKG
선거법	선거법/NNG
위반론에	위반/NNG + 론/XSN + 에/JKB
그처럼	그/NP + 처럼/JKB
발끈했던	발끈/MAG + 하/XSV + 았/EP + 던/ETM
평민당이,	평민당/NNP + 이/JKS + ,/SP
후보	후보/NNG
등록	등록/NNG
마감	마감/NNG
전날인	전날/NNG + 이/VCP + ㄴ/ETM
지난	지나/VV + ㄴ/ETM
12일	12/SN + 일/NNB
중앙	중앙/NNG
선관위가	선관위/NNG + 가/JKS
내린	내리/VV + ㄴ/ETM
'각	'/SS + 각/MM
당의	당/NNG + 의/JKG
지자제	지자제/NNG
대책	대책/NNG
기구는	기구/NNG + 는/JX
위법이니	위법/NNG + 이/VCP + 니/EC
해체하라'는	해체/NNG + 하/XSV + 라/EC + '/SS + 는/ETM
통첩에	통첩/NNG + 에/JKB
왜	왜/MAG
일언	일언/NNG
반구도	반구/NNG + 도/JX
못했느냐가	못/MAG + 하/VV + 았/EP + 느냐/EF + 가/JKS
바로	바로/MAG
이런	이런/MM
상황	상황/NNG
속에서	속/NNG + 에서/JKB
설명이	설명/NNG + 이/JKC
되는	되/VV + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그래서	그래서/MAJ
'우리	'/SS + 우리/NP
민자당은	민자당/NNP + 은/JX
행복하다'고	행복/NNG + 하/XSA + 다/EC + '/SS + 고/JKQ
한다면,	하/VV + ㄴ다면/EC + ,/SP
천만의	천만/NR + 의/JKG
말씀이다.	말씀/NNG + 이/VCP + 다/EF + ./SF

여당	여당/NNG
주장대로	주장/NNG + 대로/JX
'무소속	'/SS + 무/XPN + 소속/NNG
후보의	후보/NNG + 의/JKG
절반이	절반/NNG + 이/JKS
친여'라면,	친/XPN + 여/NNG + '/SS + 이/VCP + 라면/EC + ,/SP
왜	왜/MAG
그	그/MM
절반이	절반/NNG + 이/JKS
민자당	민자당/NNP
간판을	간판/NNG + 을/JKO
피하고	피하/VV + 고/EC
숨기려	숨기/VV + 려/EC
했는지	하/VX + 았/EP + 는지/EC
자문자답해	자문자답/NNG + 하/XSV + 아/EC
볼	보/VX + ㄹ/ETM
일이다.	일/NNG + 이/VCP + 다/EF + ./SF

국민	국민/NNG
다수는	다수/NNG + 는/JX
지금	지금/MAG
모든	모든/MM
기성	기성/NNG
정치권에	정치/NNG + 권/XSN + 에/JKB
'금치산	'/SS + 금치산/NNG
선고'를	선고/NNG + '/SS + 를/JKO
내린	내리/VV + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그래서	그래서/MAJ
더더욱	더더욱/MAG
정당은	정당/NNG + 은/JX
관여	관여/NNG
말라고	말/VV + 라고/EC
하는	하/VV + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

문제는	문제/NNG + 는/JX
이러한	이러/XR + 하/XSA + ㄴ/ETM
격앙된	격앙/NNG + 되/XSV + ㄴ/ETM
소리들이	소리/NNG + 들/XSN + 이/JKS
지자제	지자제/NNG
자체까지	자체/NNG + 까지/JX
냉소로	냉소/NNG + 로/JKB
대하는	대하/VV + 는/ETM
흐름으로	흐름/NNG + 으로/JKB
연결되도록	연결/NNG + 되/XSV + 도록/EC
방치	방치/NNG
해선	하/VV + 아서/EC + ㄴ/JX
안된다는	안/MAG + 되/XSV + ㄴ다는/ETM
점이다.	점/NNG + 이/VCP + 다/EF + ./SF

특히	특히/MAG
대도시	대/XPN + 도시/NNG
지역의	지역/NNG + 의/JKG
저조한	저조/NNG + 하/XSA + ㄴ/ETM
경쟁률이	경쟁/NNG + 률/XSN + 이/JKS
마음에	마음/NNG + 에/JKB
걸리는	걸리/VV + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

혐오와	혐오/NNG + 와/JC
기피의	기피/NNG + 의/JKG
사무친	사무치/VV + ㄴ/ETM
에너지를	에너지/NNG + 를/JKO
어떻게	어떻/VA + 게/EC
순기능으로	순기능/NNG + 으로/JKB
뒤바꿔	뒤바꾸/VV + 어/EC
승화시킬	승화/NNG + 시키/XSV + ㄹ/ETM
수	수/NNB
있을	있/VV + 을/ETM
것인지,	것/NNB + 이/VCP + ㄴ지/EC + ,/SP
앞으로의	앞/NNG + 으로/JKB + 의/JKG
광역	광역/NNG
선거에서는	선거/NNG + 에서/JKB + 는/JX
또	또/MAG
무엇을	무엇/NP + 을/JKO
보게	보/VV + 게/EC
될지	되/VV + ㄹ지/EC
좀처럼	좀처럼/MAG
가닥을	가닥/NNG + 을/JKO
잡기	잡/VV + 기/ETN
어렵다	어렵/VA + 다/EC
할밖에	하/VV + ㄹ밖에/EC
없다.	없/VA + 다/EF + ./SF

유괴된지	유괴/NNG + 되/XSV + ㄴ지/EC
43일	43/SN + 일/NNB
만에	만/NNB + 에/JKB
피살체로	피살체/NNG + 로/JKB
발견된	발견/NNG + 되/XSV + ㄴ/ETM
이형호	이형호/NNP
군(9)의	군/NNB + (/SS + 9/SN + )/SS + 의/JKG
시신이	시신/NNG + 이/JKS
안치된	안치/NNG + 되/XSV + ㄴ/ETM
서울	서울/NNP
강남구	강남구/NNP
삼성동	삼성동/NNP
강남병원	강남병원/NNP
영안실에는	영안실/NNG + 에/JKB + 는/JX
14일	14/SN + 일/NNB
하루	하루/NNG
종일	종일/NNG
무거운	무겁/VA + ㄴ/ETM
적막이	적막/NNG + 이/JKS
흘렀다.	흐르/VV + 었/EP + 다/EF + ./SF

이따금씩	이따금/MAG + 씩/XSN
찾아	찾/VV + 아/EC
온	오/VV + ㄴ/ETM
조문객들이	조문객/NNG + 들/XSN + 이/JKS
유치원	유치원/NNG
졸업	졸업/NNG
당시	당시/NNG
환하게	환하/VA + 게/EC
웃는	웃/VV + 는/ETM
모습으로	모습/NNG + 으로/JKB
찍은	찍/VV + 은/ETM
형호군의	형호/NNP + 군/NNB + 의/JKG
사진	사진/NNG
앞에서	앞/NNG + 에서/JKB
잠시	잠시/MAG
이	이/MM
어린이의	어린이/NNG + 의/JKG
죽음을	죽음/NNG + 을/JKO
가슴	가슴/NNG
아파하고	아파하/VV + 고/EC
돌아갈	돌아가/VV + ㄹ/ETM
뿐이었다.	뿐/NNB + 이/VCP + 었/EP + 다/EF + ./SF

전날	전날/NNG
오후	오후/NNG
아들의	아들/NNG + 의/JKG
죽음을	죽음/NNG + 을/JKO
확인하고	확인/NNG + 하/XSV + 고/EC
울부짖던	울부짖/VV + 던/ETM
아버지	아버지/NNG
이우실	이우실/NNP
씨(36)와	씨/NNB + (/SS + 36/SN + )/SS + 와/JC
어머니	어머니/NNG
이혜옥	이혜옥/NNP
씨(34)	씨/NNB + (/SS + 34/SN + )/SS
등	등/NNB
가족들은	가족/NNG + 들/XSN + 은/JX
"세상에	"/SS + 세상/NNG + 에/JKB
이럴	이렇/VA + ㄹ/ETM
수가"라는	수/NNB + 가/JKS + "/SS + 이/VCP + 라는/ETM
탄식	탄식/NNG
외에는	외/NNB + 에/JKB + 는/JX
말을	말/NNG + 을/JKO
잊은	잊/VV + 은/ETM
듯했다.	듯/NNB + 하/XSA + 았/EP + 다/EF + ./SF

오전	오전/NNG
11시쯤에는	11/SN + 시/NNB + 쯤/NNG + 에/JKB + 는/JX
이군이	이/NNP + 군/NNB + 이/JKS
다니던	다니/VV + 던/ETM
구정국민학교	구정국민학교/NNP
교장과	교장/NNG + 과/JC
교감,	교감/NNG + ,/SP
지난해	지난해/NNG
같은	같/VA + 은/ETM
반에	반/NNG + 에/JKB
있었던	있/VV + 었/EP + 던/ETM
친구들	친구/NNG + 들/XSN
10여	10/SN + 여/XSN
명이	명/NNB + 이/JKS
다녀갔다.	다녀가/VV + 았/EP + 다/EF + ./SF

임명숙	임명숙/NNP
교감(53)은	교감/NNG + (/SS + 53/SN + )/SS + 은/JX
"낯선	"/SS + 낯설/VA + ㄴ/ETM
사람을	사람/NNG + 을/JKO
조심하라고	조심/NNG + 하/XSV + 라고/EC
늘	늘/MAG
학생들에게	학생/NNG + 들/XSN + 에게/JKB
주의를	주의/NNG + 를/JKO
주어	주/VV + 어/EC
왔는데	오/VX + 았/EP + 는데/EC
끝내	끝내/MAG
이런	이런/MM
비극이	비극/NNG + 이/JKS
일어났다"며	일어나/VV + 았/EP + 다/EC + "/SS + 며/EC
어쩔	어쩌/VV + ㄹ/ETM
줄	줄/NNB
몰라	모르/VV + 아/EC
했고	하/VX + 았/EP + 고/EC
평소	평소/NNG
붙임성	붙이/VV + ㅁ/ETN + 성/XSN
많고	많/VA + 고/EC
개구쟁이였던	개구쟁이/NNG + 이/VCP + 었/EP + 던/ETM
형호를	형호/NNP + 를/JKO
찾은	찾/VV + 은/ETM
10여	10/SN + 여/XSN
명의	명/NNB + 의/JKG
친구들은	친구/NNG + 들/XSN + 은/JX
고개를	고개/NNG + 를/JKO
떨군	떨구/VV + ㄴ/ETM
채	채/NNB
말이	말/NNG + 이/JKC
없었다.	없/VA + 었/EP + 다/EF + ./SF

이날	이날/NNG
아침	아침/NNG
구정	구정/NNP
국민	국민/NNG
학교에서는	학교/NNG + 에서/JKB + 는/JX
이군이	이/NNP + 군/NNB + 이/JKS
새	새/MM
학년도에	학년도/NNG + 에/JKB
배정된	배정/NNG + 되/XSV + ㄴ/ETM
4학년	4/SN + 학년/NNG
6반	6/SN + 반/NNG
이군	이/NNP + 군/NNB
책상	책상/NNG
위에도	위/NNG + 에/JKB + 도/JX
하얀	하얗/VA + ㄴ/ETM
국화	국화/NNG
한	한/MM
송이가	송이/NNG + 가/JKS
놓였다.	놓이/VV + 었/EP + 다/EF + ./SF

학교측은	학교/NNG + 측/NNB + 은/JX
지난	지나/VV + ㄴ/ETM
2월초	2/SN + 월/NNB + 초/NNB
경찰로부터	경찰/NNG + 로부터/JKB
이군이	이/NNP + 군/NNB + 이/JKS
유괴됐다는	유괴/NNG + 되/XSV + 었/EP + 다는/ETM
연락을	연락/NNG + 을/JKO
받았지만	받/VV + 았/EP + 지만/EC
꼭	꼭/MAG
다시	다시/MAG
돌아올	돌아오/VV + ㄹ/ETM
것이란	것/NNB + 이/VCP + 란/ETM
생각에서	생각/NNG + 에서/JKB
이군에게	이/NNP + 군/NNB + 에게/JKB
새	새/MM
학급을	학급/NNG + 을/JKO
배정했었다.	배정/NNG + 하/XSV + 았었/EP + 다/EF + ./SF

이젠	이제/NNG + ㄴ/JX
다시	다시/MAG
볼	보/VV + ㄹ/ETM
수	수/NNB
없게	없/VA + 게/EC
된	되/VV + ㄴ/ETM
친구의	친구/NNG + 의/JKG
책상	책상/NNG
앞에	앞/NNG + 에/JKB
고개	고개/NNG
숙인	숙이/VV + ㄴ/ETM
학생들	학생/NNG + 들/XSN
틈에는	틈/NNG + 에/JKB + 는/JX
지난	지나/VV + ㄴ/ETM
1일자로	1/SN + 일자/NNG + 로/JKB
다른	다른/MM
학교로	학교/NNG + 로/JKB
전근한	전근/NNG + 하/XSV + ㄴ/ETM
형호군의	형호/NNP + 군/NNB + 의/JKG
작년	작년/NNG
담임	담임/NNG
이옥희	이옥희/NNP
교사도	교사/NNG + 도/JX
있었다.	있/VV + 었/EP + 다/EF + ./SF

이	이/NNP
교사는	교사/NNG + 는/JX
"평소	"/SS + 평소/NNG
장난이	장난/NNG + 이/JKS
심해	심하/VA + 아/EC
꾸중을	꾸중/NNG + 을/JKO
많이	많이/MAG
들었지만	듣/VV + 었/EP + 지만/EC
영특한	영특/XR + 하/XSA + ㄴ/ETM
아이였는데…"라며	아이/NNG + 이/VCP + 었/EP + 는데/EC + …/SE + "/SS + 이/VCP + 라며/EC
학생들이	학생/NNG + 들/XSN + 이/JKS
보는	보/VV + 는/ETM
데서	데/NNB + 서/JKB
울음을	울음/NNG + 을/JKO
터뜨렸다.	터뜨리/VV + 었/EP + 다/EF + ./SF

이군의	이/NNP + 군/NNB + 의/JKG
유괴	유괴/NNG
사건이	사건/NNG + 이/JKS
크게	크/VA + 게/EC
보도된	보도/NNG + 되/XSV + ㄴ/ETM
이날	이날/NNG
오후	오후/NNG
3시	3/SN + 시/NNB
수업이	수업/NNG + 이/JKS
끝난	끝나/VV + ㄴ/ETM
구정	구정/NNP
국교에는	국교/NNG + 에/JKB + 는/JX
여느	여느/MM
때보다	때/NNG + 보다/JKB
많은	많/VA + 은/ETM
1백여	1/SN + 백/NR + 여/XSN
명의	명/NNB + 의/JKG
학부모들이	학부모/NNG + 들/XSN + 이/JKS
교문	교문/NNG
앞까지	앞/NNG + 까지/JX
나와	나오/VV + 아/EC
하교길의	하교/NNG + 길/NNG + 의/JKG
자녀들을	자녀/NNG + 들/XSN + 을/JKO
찾고	찾/VV + 고/EC
있었다.	있/VX + 었/EP + 다/EF + ./SF

"돈을	"/SS + 돈/NNG + 을/JKO
물	물/NNG
쓰듯	쓰/VV + 듯/EC
한다"는	하/VV + ㄴ다/EC + "/SS + 는/ETM
관용어에는	관용어/NNG + 에/JKB + 는/JX
물론	물론/MAG
헤프게	헤프/VA + 게/EC
써도	쓰/VV + 어도/EC
좋다는	좋/VA + 다는/ETM
우리의	우리/NP + 의/JKG
오랜	오랜/MM
발상법이	발상법/NNG + 이/JKS
담겨	담기/VV + 어/EC
있다.	있/VX + 다/EF + ./SF

진작부터	진작/MAG + 부터/JX
환경	환경/NNG
학자들은	학자/NNG + 들/XSN + 은/JX
물이	물/NNG + 이/JKS
헤프게	헤프/VA + 게/EC
써도	쓰/VV + 어도/EC
좋은	좋/VA + 은/ETM
공짜가	공짜/NNG + 가/JKC
아니라,	아니/VCN + 라/EC + ,/SP
생명을	생명/NNG + 을/JKO
지켜	지키/VV + 어/EC
주는	주/VX + 는/ETM
귀한	귀하/VA + ㄴ/ETM
자원임을	자원/NNG + 이/VCP + ㅁ/ETN + 을/JKO
경고해	경고/NNG + 하/XSV + 아/EC
왔다.	오/VX + 았/EP + 다/EF + ./SF

지구상의	지구/NNG + 상/XSN + 의/JKG
물은	물/NNG + 은/JX
양의	양/NNG + 의/JKG
부족	부족/NNG
아니면,	아니/VCN + 면/EC + ,/SP
질의	질/NNG + 의/JKG
저하로	저하/NNG + 로/JKB
몸살을	몸살/NNG + 을/JKO
앓고	앓/VV + 고/EC
있은	있/VX + 은/ETM
지	지/NNB
오래라는	오래/VA + 라는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

주로	주로/MAG
후진국	후진국/NNG
쪽에	쪽/NNB + 에/JKB
사는	살/VV + 는/ETM
세계	세계/NNG
인구의	인구/NNG + 의/JKG
6할이	6/SN + 할/NNB + 이/JKS
물의	물/NNG + 의/JKG
부족으로	부족/NNG + 으로/JKB
'목말라'	'/SS + 목마르/VA + 아/EC + '/SS
있고,	있/VX + 고/EC + ,/SP
강우량이	강우량/NNG + 이/JKS
많은	많/VA + 은/ETM
선진국은	선진국/NNG + 은/JX
산업	산업/NNG
폐기물	폐기물/NNG
때문에	때문/NNB + 에/JKB
나빠진	나쁘/VA + 아/EC + 지/VX + ㄴ/ETM
수질로	수질/NNG + 로/JKB
'목타고'	'/SS + 목/NNG + 타/VV + 고/EC + '/SS
있다.	있/VX + 다/EF + ./SF

경제가	경제/NNG + 가/JKS
살	살/VV + ㄹ/ETM
만해지자	만/NNB + 하/XSA + 아/EC + 지/VX + 자/EC
특히	특히/MAG
물의	물/NNG + 의/JKG
질에	질/NNG + 에/JKB
관심을	관심/NNG + 을/JKO
높이고	높이/VV + 고/EC
있는	있/VX + 는/ETM
것이	것/NNB + 이/JKS
오늘의	오늘/NNG + 의/JKG
우리	우리/NP
형편이다.	형편/NNG + 이/VCP + 다/EF + ./SF

그럼에도	그렇/VA + ㅁ/ETN + 에/JKB + 도/JX
정부	정부/NNG
공급의	공급/NNG + 의/JKG
물을	물/NNG + 을/JKO
신뢰할	신뢰/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
없다는	없/VA + 다는/ETM
소문이	소문/NNG + 이/JKS
나자,	나/VV + 자/EC + ,/SP
자구책을	자구책/NNG + 을/JKO
취하는	취하/VV + 는/ETM
도시민이	도시민/NNG + 이/JKS
급증하고	급증/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

평일	평일/NNG
새벽이나	새벽/NNG + 이나/JC
주말이면	주말/NNG + 이/VCP + 면/EC
산자락	산자락/NNG
아래를	아래/NNG + 를/JKO
찾는다.	찾/VV + 는다/EF + ./SF

약수를	약수/NNG + 를/JKO
길어	긷/VV + 어/EC
오는	오/VX + 는/ETM
것이	것/NNB + 이/JKS
어느덧	어느덧/MAG
도시의	도시/NNG + 의/JKG
풍속도가	풍속도/NNG + 가/JKC
되었다.	되/VV + 었/EP + 다/EF + ./SF

부자들이	부자/NNG + 들/XSN + 이/JKS
많이	많이/MAG
산다는	살/VV + ㄴ다는/ETM
서울	서울/NNP
강남땅에도	강남/NNP + 땅/NNG + 에/JKB + 도/JX
약수를	약수/NNG + 를/JKO
길어	긷/VV + 어/EC
먹는	먹/VV + 는/ETM
사람이	사람/NNG + 이/JKS
많다.	많/VA + 다/EF + ./SF

돈	돈/NNG
주고	주/VV + 고/EC
사	사/VV + 아/EC
먹는	먹/VV + 는/ETM
생수에도	생수/NNG + 에/JKB + 도/JX
대장균이	대장균/NNG + 이/JKS
우글거린다는	우글거리/VV + ㄴ다는/ETM
소문을	소문/NNG + 을/JKO
들었기	듣/VV + 었/EP + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

그	그/MM
강남땅	강남/NNP + 땅/NNG
부자	부자/NNG
동네에	동네/NNG + 에/JKB
자리잡은	자리/NNG + 잡/VV + 은/ETM
의사는	의사/NNG + 는/JX
배탈난	배탈/NNG + 나/VV + ㄴ/ETM
환자	환자/NNG
