지나간	지나가/VV + ㄴ/ETM
차원을	차원/NNG + 을/JKO
달리하며	달리/MAG + 하/XSV + 며/EC
사기업체인	사기업체/NNG + 이/VCP + ㄴ/ETM
신문의	신문/NNG + 의/JKG
파업과도	파업/NNG + 과/JKB + 도/JX
그	그/MM
성격이나	성격/NNG + 이나/JC
파급	파급/NNG
효과를	효과/NNG + 를/JKO
크게	크/VA + 게/EC
달리하는	달리/MAG + 하/XSV + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그렇다면	그렇/VA + 다면/EC
공영	공영/NNG
방송의	방송/NNG + 의/JKG
마비는	마비/NNG + 는/JX
분명히	분명히/MAG
국민과	국민/NNG + 과/JC
시청자가	시청자/NNG + 가/JKS
납득할	납득/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
이유와	이유/NNG + 와/JC
설명을	설명/NNG + 을/JKO
전제로	전제/NNG + 로/JKB
해야	하/VV + 아야/EC
하며	하/VX + 며/EC
또	또/MAG
국민은	국민/NNG + 은/JX
그것을	그것/NP + 을/JKO
요구할	요구/NNG + 하/XSV + ㄹ/ETM
권리가	권리/NNG + 가/JKS
있다.	있/VV + 다/EF + ./SF

KBS의	KBS/SL + 의/JKG
오늘의	오늘/NNG + 의/JKG
사태는	사태/NNG + 는/JX
과연	과연/MAG
국민에게	국민/NNG + 에게/JKB
납득할	납득/NNG + 하/XSV + ㄹ/ETM
만한	만/NNB + 하/XSA + ㄴ/ETM
설명을	설명/NNG + 을/JKO
제공하고	제공/NNG + 하/XSV + 고/EC
있는	있/VX + 는/ETM
것일까?	것/NNB + 이/VCP + ㄹ까/EF + ?/SF

KBS가	KBS/SL + 가/JKS
노사간에	노사/NNG + 간/NNB + 에/JKB
제공하고	제공/NNG + 하/XSV + 고/EC
있는	있/VX + 는/ETM
설명을	설명/NNG + 을/JKO
우리는	우리/NP + 는/JX
납득을	납득/NNG + 을/JKO
하기	하/VV + 기/ETN
어렵다.	어렵/VA + 다/EF + ./SF

먼저	먼저/MAG
KBS의	KBS/SL + 의/JKG
새	새/MM
사장이	사장/NNG + 이/JKS
어떤	어떤/MM
성향의	성향/NNG + 의/JKG
사람이건	사람/NNG + 이/VCP + 건/EC
간에	간/NNB + 에/JKB
그	그/MM
성향에	성향/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
사원들의	사원/NNG + 들/XSN + 의/JKG
불만과	불만/NNG + 과/JC
비판이	비판/NNG + 이/JKS
과연	과연/MAG
KBS를	KBS/SL + 를/JKO
오늘의	오늘/NNG + 의/JKG
상황으로	상황/NNG + 으로/JKB
몰고갈	몰/VV + 고/EC + 가/VX + ㄹ/ETM
만한	만/NNB + 하/XSA + ㄴ/ETM
충분하고도	충분/XR + 하/XSA + 고/EC + 도/JX
필요한	필요/NNG + 하/XSA + ㄴ/ETM
조건이	조건/NNG + 이/JKC
될	되/VV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
것인가?	것/NNB + 이/VCP + ㄴ가/EF + ?/SF

새	새/MM
사장이	사장/NNG + 이/JKS
KBS의	KBS/SL + 의/JKG
보도	보도/NNG
방향을	방향/NNG + 을/JKO
정부의	정부/NNG + 의/JKG
시녀로	시녀/NNG + 로/JKB
몰고	몰/VV + 고/EC
가는	가/VX + 는/ETM
것이	것/NNB + 이/JKS
분명한	분명/MAG + 하/XSA + ㄴ/ETM
구체적	구체/NNG + 적/XSN
상황이	상황/NNG + 이/JKS
발생했을	발생/NNG + 하/XSV + 았/EP + 을/ETM
때	때/NNG
이런	이런/MM
사태가	사태/NNG + 가/JKS
생겼다면	생기/VV + 었/EP + 다면/EC
국민과	국민/NNG + 과/JC
시청자의	시청자/NNG + 의/JKG
지원은	지원/NNG + 은/JX
얼마나	얼마나/MAG
뜨겁고	뜨겁/VA + 고/EC
성대했을까	성대/XR + 하/XSA + 았/EP + 을까/EC
하는	하/VV + 는/ETM
생각도	생각/NNG + 도/JX
해	하/VV + 아/EC
본다.	보/VX + ㄴ다/EF + ./SF

언론사의	언론사/NNG + 의/JKG
분규를	분규/NNG + 를/JKO
성급하게	성급/XR + 하/XSA + 게/EC
공권력에	공권력/NNG + 에/JKB
의존해서	의존/NNG + 하/XSV + 아서/EC
다루려는	다루/VV + 려는/ETM
도식적	도식/NNG + 적/XSN
사고	사고/NNG
방식들이	방식/NNG + 들/XSN + 이/JKS
사태를	사태/NNG + 를/JKO
더욱	더욱/MAG
악화시키고	악화/NNG + 시키/XSV + 고/EC
있는	있/VX + 는/ETM
것도	것/NNB + 도/JX
답답한	답답/XR + 하/XSA + ㄴ/ETM
일이다.	일/NNG + 이/VCP + 다/EF + ./SF

'사장	'/SS + 사장/NNG
임명	임명/NNG
절차는	절차/NNG + 는/JX
적법'	적법/NNG + '/SS
'파업은	'/SS + 파업/NNG + 은/JX
불법'이라는	불법/NNG + '/SS + 이/VCP + 라는/ETM
논리의	논리/NNG + 의/JKG
단순	단순/NNG
반복으로는	반복/NNG + 으로/JKB + 는/JX
노사	노사/NNG
분규를	분규/NNG + 를/JKO
해결할	해결/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
없었던	없/VA + 었/EP + 던/ETM
저간의	저간/NNG + 의/JKG
상황을	상황/NNG + 을/JKO
인식	인식/NNG
했어야	하/VV + 았/EP + 어야/EC
했다.	하/VX + 았/EP + 다/EF + ./SF

꾸준하고	꾸준/XR + 하/XSA + 고/EC
끈질긴	끈질기/VA + ㄴ/ETM
대화와	대화/NNG + 와/JC
투신의	투신/NNG + 의/JKG
정신으로	정신/NNG + 으로/JKB
대했다면	대하/VV + 았/EP + 다면/EC
과연	과연/MAG
사태가	사태/NNG + 가/JKS
이렇게	이렇/VA + 게/EC
확산되지는	확산/NNG + 되/XSV + 지/EC + 는/JX
않았을	않/VX + 았/EP + 을/ETM
것이	것/NNB + 이/JKC
아닌가.	아니/VCN + ㄴ가/EF + ./SF

우리는	우리/NP + 는/JX
이런	이런/MM
모든	모든/MM
것들을	것/NNB + 들/XSN + 을/JKO
납득할	납득/NNG + 하/XSV + ㄹ/ETM
수가	수/NNB + 가/JKS
없다.	없/VA + 다/EF + ./SF

그런	그런/MM
사정들과	사정/NNG + 들/XSN + 과/JC
입장들이	입장/NNG + 들/XSN + 이/JKS
서로	서로/MAG
날카롭게	날카롭/VA + 게/EC
대립했다는	대립/NNG + 하/XSV + 았/EP + 다는/ETM
것을	것/NNB + 을/JKO
알고난	알/VV + 고/EC + 나/VX + ㄴ/ETM
후에도,	후/NNG + 에/JKB + 도/JX + ,/SP
그래서	그래서/MAJ
오늘날	오늘날/NNG
KBS가	KBS/SL + 가/JKS
마비될	마비/NNG + 되/XSV + ㄹ/ETM
수밖에	수/NNB + 밖에/JX
없구나	없/VA + 구나/EC
하고	하/VV + 고/EC
긍정하고	긍정/NNG + 하/XSV + 고/EC
그	그/MM
설명을	설명/NNG + 을/JKO
믿어줄	믿/VV + 어/EC + 주/VX + ㄹ/ETM
국민이나	국민/NNG + 이나/JX
과연	과연/MAG
얼마나	얼마나/MAG
있는가라는	있/VV + 는가라는/ETM
사실에	사실/NNG + 에/JKB
KBS는	KBS/SL + 는/JX
깊이	깊이/MAG
유의해야	유의/NNG + 하/XSV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

모름지기	모름지기/MAG
모든	모든/MM
대립과	대립/NNG + 과/JC
분규가	분규/NNG + 가/JKS
그렇듯이	그렇/VA + 듯이/EC
KBS	KBS/SL
사태도	사태/NNG + 도/JX
국민의	국민/NNG + 의/JKG
이해를	이해/NNG + 를/JKO
얻어내는	얻/VV + 어/EC + 내/VX + 는/ETM
데	데/NNB
있어	있/VV + 어/EC
유리한	유리/NNG + 하/XSA + ㄴ/ETM
조류를	조류/NNG + 를/JKO
타야	타/VV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

다시	다시/MAG
말해	말/NNG + 하/XSV + 아/EC
상대방을	상대방/NNG + 을/JKO
굴복시키는	굴복/NNG + 시키/XSV + 는/ETM
것만이	것/NNB + 만/JX + 이/JKS
능사가	능사/NNG + 가/JKC
아니라	아니/VCN + 라/EC
국민을	국민/NNG + 을/JKO
자기	자기/NP
편으로	편/NNB + 으로/JKB
만들어	만들/VV + 어/EC
가는	가/VX + 는/ETM
것이	것/NNB + 이/JKS
절대	절대/MAG
필요하다.	필요/NNG + 하/XSA + 다/EF + ./SF

시청자는	시청자/NNG + 는/JX
얼마	얼마/NNG
동안은	동안/NNG + 은/JX
사태를	사태/NNG + 를/JKO
지켜	지키/VV + 어/EC
볼	보/VX + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그러나	그러나/MAJ
언제까지	언제/NP + 까지/JX
방송의	방송/NNG + 의/JKG
엉망	엉망/NNG
상태를	상태/NNG + 를/JKO
두고만	두/VV + 고/EC + 만/JX
보지는	보/VV + 지/EC + 는/JX
않을	않/VX + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

오늘의	오늘/NNG + 의/JKG
국지적	국지/NNG + 적/XSN
징시적	징시/NNG + 적/XSN
몰입적	몰입/NNG + 적/XSN
투쟁을	투쟁/NNG + 을/JKO
떠나	떠나/VV + 아/EC
그	그/MM
때를	때/NNG + 를/JKO
보는	보/VV + 는/ETM
지혜가	지혜/NNG + 가/JKS
있어야	있/VV + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

막연한	막연/XR + 하/XSA + ㄴ/ETM
부동산	부동산/NNG
투기	투기/NNG
풍조를	풍조/NNG + 를/JKO
가라앉히려면	가라앉히/VV + 려면/EC
우선	우선/MAG
투기	투기/NNG
심리부터	심리/NNG + 부터/JX
잡아야	잡/VV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

지금의	지금/NNG + 의/JKG
투기	투기/NNG
상황은	상황/NNG + 은/JX
흡사	흡사/MAG
정부의	정부/NNG + 의/JKG
억제	억제/NNG
정책과	정책/NNG + 과/JC
투기가들	투기가/NNG + 들/XSN
사이에	사이/NNG + 에/JKB
벌어지는	벌어지/VV + 는/ETM
줄다리기의	줄다리기/NNG + 의/JKG
양상처럼	양상/NNG + 처럼/JKB
비쳐진다.	비치/VV + 어/EC + 지/VX + ㄴ다/EF + ./SF

이래서는	이러/VV + 어서/EC + 는/JX
나라의	나라/NNG + 의/JKG
체통도	체통/NNG + 도/JX
안서고,	안/MAG + 서/VV + 고/EC + ,/SP
투기	투기/NNG
심리를	심리/NNG + 를/JKO
잠재우기도	잠재우/VV + 기/ETN + 도/JX
어렵다.	어렵/VA + 다/EF + ./SF

투기가들의	투기가/NNG + 들/XSN + 의/JKG
발	발/NNG
빠른	빠르/VA + ㄴ/ETM
변신을	변신/NNG + 을/JKO
뒤쫓아가는	뒤쫓/VV + 아/EC + 가/VX + 는/ETM
개별	개별/NNG
대책으로는	대책/NNG + 으로/JKB + 는/JX
언제나	언제나/MAG
일시적	일시/NNG + 적/XSN
대증	대증/NNG
효과	효과/NNG
뿐이며,	뿐/NNB + 이/VCP + 며/EC + ,/SP
오히려	오히려/MAG
정책의	정책/NNG + 의/JKG
양산과	양산/NNG + 과/JC
무실의	무실/NNG + 의/JKG
반복이	반복/NNG + 이/JKS
투기	투기/NNG
심리를	심리/NNG + 를/JKO
부추기는	부추기/VV + 는/ETM
역효과까지	역효과/NNG + 까지/JX
생길	생기/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

이런	이런/MM
사태는	사태/NNG + 는/JX
가장	가장/MAG
바람직하지	바람직/XR + 하/XSA + 지/EC
않은	않/VX + 은/ETM
정책	정책/NNG
경시까지	경시/NNG + 까지/JX
이어져	이어지/VV + 어/EC
급기야는	급기야/MAG + 는/JX
백약이	백약/NNG + 이/JKS
소용	소용/NNG
없는	없/VA + 는/ETM
지경까지	지경/NNG + 까지/JX
갈지	가/VV + ㄹ지/EC
모른다.	모르/VV + ㄴ다/EF + ./SF

중요한	중요/NNG + 하/XSA + ㄴ/ETM
것은	것/NNB + 은/JX
사안별	사안/NNG + 별/XSN
개별	개별/NNG
대책이라기보다는	대책/NNG + 이/VCP + 라/EC + 기/ETN + 보다/JKB + 는/JX
총체적인	총체/NNG + 적/XSN + 이/VCP + ㄴ/ETM
정부의	정부/NNG + 의/JKG
인식과	인식/NNG + 과/JC
자세이다.	자세/NNG + 이/VCP + 다/EF + ./SF

적어도	적어도/MAG
지금	지금/MAG
같은	같/VA + 은/ETM
상황에서는	상황/NNG + 에서/JKB + 는/JX
정부가	정부/NNG + 가/JKS
진실로	진실로/MAG
투기	투기/NNG
문제를	문제/NNG + 를/JKO
뿌리뽑겠다는	뿌리/NNG + 뽑/VV + 겠/EP + 다는/ETM
의지가	의지/NNG + 가/JKS
정책의	정책/NNG + 의/JKG
형태로서	형태/NNG + 로서/JKB
구체화	구체/NNG + 화/XSN
되어야	되/VV + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

중요한	중요/NNG + 하/XSA + ㄴ/ETM
고비마다	고비/NNG + 마다/JX
갖가지	갖가지/NNG
현실론과	현실/NNG + 론/XSN + 과/JC
납득하기	납득/NNG + 하/XSV + 기/ETN
어려운	어렵/VA + ㄴ/ETM
명분을	명분/NNG + 을/JKO
내세워	내세우/VV + 어/EC
스스로	스스로/MAG
금기를	금기/NNG + 를/JKO
설정하고	설정/NNG + 하/XSV + 고/EC
본질을	본질/NNG + 을/JKO
회피하는가	회피/NNG + 하/XSV + 는가/EC
하면,	하/VV + 면/EC + ,/SP
기껏	기껏/MAG
채택한	채택/NNG + 하/XSV + ㄴ/ETM
정책도	정책/NNG + 도/JX
특례와	특례/NNG + 와/JC
예외를	예외/NNG + 를/JKO
수	수/NNG
없이	없이/MAG
남발하여	남발/NNG + 하/XSV + 아/EC
빈껍데기	비/VV + ㄴ/ETM + 껍데기/NNG
명패만	명패/NNG + 만/JX
내거는	내걸/VV + 는/ETM
투기	투기/NNG
대책으로는	대책/NNG + 으로/JKB + 는/JX
발호하는	발호/NNG + 하/XSV + 는/ETM
투기	투기/NNG
심리를	심리/NNG + 를/JKO
대적할	대적/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
없는	없/VA + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

더구나	더구나/MAG
확신도	확신/NNG + 도/JX
없이	없이/MAG
양산해	양산/NNG + 하/XSV + 아/EC
낸	내/VX + ㄴ/ETM
대책들이	대책/NNG + 들/XSN + 이/JKS
어떻게	어떻/VA + 게/EC
작동하고,	작동/NNG + 하/XSV + 고/EC + ,/SP
어떤	어떤/MM
허점을	허점/NNG + 을/JKO
노출하고	노출/NNG + 하/XSV + 고/EC
있는지	있/VX + 는지/EC
제대로	제대로/MAG
검증하지도	검증/NNG + 하/XSV + 지/EC + 도/JX
않고	않/VX + 고/EC
그저	그저/MAG
발표와	발표/NNG + 와/JC
으름장으로	으름장/NNG + 으로/JKB
일관하고	일관/NNG + 하/XSV + 고/EC
있으니	있/VX + 으니/EC
어떻게	어떻/VA + 게/EC
투기꾼들을	투기/NNG + 꾼/XSN + 들/XSN + 을/JKO
감당할	감당/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있는가.	있/VV + 는가/EF + ./SF

이번에	이번/NNG + 에/JKB
다시	다시/MAG
추가된	추가/NNG + 되/XSV + ㄴ/ETM
등기	등기/NNG
의무화도	의무/NNG + 화/XSN + 도/JX
주택	주택/NNG
공급	공급/NNG
확대도,	확대/NNG + 도/JX + ,/SP
모두가	모두/NNG + 가/JKS
필요하고	필요/NNG + 하/XSA + 고/EC
유익한	유익/NNG + 하/XSA + ㄴ/ETM
대책임에는	대책/NNG + 이/VCP + ㅁ/ETN + 에/JKB + 는/JX
이론이	이론/NNG + 이/JKS
없다.	없/VA + 다/EF + ./SF

그러나	그러나/MAJ
우리가	우리/NP + 가/JKS
답답하게	답답/XR + 하/XSA + 게/EC
여기는	여기/VV + 는/ETM
것은	것/NNB + 은/JX
대책의	대책/NNG + 의/JKG
종합화와	종합/NNG + 화/XSN + 와/JC
일관성의	일관/NNG + 성/XSN + 의/JKG
확보가	확보/NNG + 가/JKS
미흡하다는	미흡/NNG + 하/XSA + 다는/ETM
점이다.	점/NNG + 이/VCP + 다/EF + ./SF

개별	개별/NNG
대책으로서는	대책/NNG + 으로서/JKB + 는/JX
모두가	모두/NNG + 가/JKS
나무랄	나무라/VV + ㄹ/ETM
데	데/NNB
없는	없/VA + 는/ETM
택지	택지/NNG
보유	보유/NNG
상한제,	상한/NNG + 제/XSN + ,/SP
초과	초과/NNG
이득세,	이득/NNG + 세/NNG + ,/SP
양도세	양도/NNG + 세/NNG
강화,	강화/NNG + ,/SP
과표	과표/NNG
현실화,	현실/NNG + 화/XSN + ,/SP
거래	거래/NNG
허가제	허가/NNG + 제/XSN
등이	등/NNB + 이/JKS
제대로	제대로/MAG
기능하지	기능/NNG + 하/XSV + 지/EC
못하고	못하/VX + 고/EC
있는	있/VX + 는/ETM
바탕은	바탕/NNG + 은/JX
공통적으로	공통/NNG + 적/XSN + 으로/JKB
이들	이/NP + 들/XSN
제도가	제도/NNG + 가/JKS
간판만은	간판/NNG + 만/JX + 은/JX
요란하게	요란/NNG + 하/XSA + 게/EC
내걸었지	내걸/VV + 었/EP + 지/EC
실제	실제/NNG
운용을	운용/NNG + 을/JKO
관철하고	관철/NNG + 하/XSV + 고/EC
문제점을	문제점/NNG + 을/JKO
보완하며,	보완/NNG + 하/XSV + 며/EC + ,/SP
제도적	제도/NNG + 적/XSN
허점과	허점/NNG + 과/JC
일선	일선/NNG
행정의	행정/NNG + 의/JKG
문제들을	문제/NNG + 들/XSN + 을/JKO
종합	종합/NNG
점검하는	점검/NNG + 하/XSV + 는/ETM
노력을	노력/NNG + 을/JKO
제대로	제대로/MAG
안하기	안/MAG + 하/VV + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

물론	물론/MAG
이런	이런/MM
방대한	방대/XR + 하/XSA + ㄴ/ETM
업무들이	업무/NNG + 들/XSN + 이/JKS
현재의	현재/NNG + 의/JKG
제한된	제한/NNG + 되/XSV + ㄴ/ETM
행정력만으로는	행정력/NNG + 만/JX + 으로/JKB + 는/JX
너무	너무/MAG
벅차다는	벅차/VA + 다는/ETM
현실을	현실/NNG + 을/JKO
모르지는	모르/VV + 지/EC + 는/JX
않는다.	않/VX + 는다/EF + ./SF

그러나	그러나/MAJ
정부가	정부/NNG + 가/JKS
진정으로	진정/NNG + 으로/JKB
사태의	사태/NNG + 의/JKG
긴요성을	긴요/XR + 성/XSN + 을/JKO
인정하고	인정/NNG + 하/XSV + 고/EC
문제를	문제/NNG + 를/JKO
해결하려는	해결/NNG + 하/XSV + 려는/ETM
생각만	생각/NNG + 만/JX
있으면	있/VV + 으면/EC
이런	이런/MM
현실적	현실/NNG + 적/XSN
애로는	애로/NNG + 는/JX
어떤	어떤/MM
방식으로든	방식/NNG + 으로/JKB + 이/VCP + 든/EC
타개해야	타개/NNG + 하/XSV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

그것이	그것/NP + 이/JKS
안되는	안/MAG + 되/XSV + 는/ETM
가운데	가운데/NNG
새	새/MM
대책만	대책/NNG + 만/JX
잇달아	잇달/VV + 아/EC
발표하는	발표/NNG + 하/XSV + 는/ETM
것은	것/NNB + 은/JX
자칫	자칫/MAG
해결	해결/NNG
의지의	의지/NNG + 의/JKG
결핍으로	결핍/NNG + 으로/JKB
오해받기	오해/NNG + 받/VV + 기/ETN
쉽다.	쉽/VA + 다/EF + ./SF

이제부터	이제/NNG + 부터/JX
할	하/VV + ㄹ/ETM
일은	일/NNG + 은/JX
모든	모든/MM
토지-주택-통화-금융정책	토지/NNG + -/SS + 주택/NNG + -/SS + 통화/NNG + -/SS + 금융/NNG + 정책/NNG
등을	등/NNB + 을/JKO
통틀어서	통틀/VV + 어서/EC
일관된	일관/NNG + 되/XSV + ㄴ/ETM
정부	정부/NNG
의지를	의지/NNG + 를/JKO
서로	서로/MAG
모순	모순/NNG
없이	없이/MAG
종합하는	종합/NNG + 하/XSV + 는/ETM
작업이다.	작업/NNG + 이/VCP + 다/EF + ./SF

그것을	그것/NP + 을/JKO
위해서는	위하/VV + 아서/EC + 는/JX
적어도	적어도/MAG
투기에	투기/NNG + 에/JKB
관한	관하/VV + ㄴ/ETM
한	한/NNG
금기와	금기/NNG + 와/JC
성역이	성역/NNG + 이/JKS
없어져야	없/VA + 어/EC + 지/VX + 어야/EC
하고,	하/VX + 고/EC + ,/SP
사회적으로	사회/NNG + 적/XSN + 으로/JKB
합의된	합의/NNG + 되/XSV + ㄴ/ETM
공익의	공익/NNG + 의/JKG
원칙이	원칙/NNG + 이/JKS
확립돼야	확립/NNG + 되/XSV + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

그러면	그러면/MAJ
자연히	자연히/MAG
불공정한	불/XPN + 공정/NNG + 하/XSA + ㄴ/ETM
타협의	타협/NNG + 의/JKG
산물인	산물/NNG + 이/VCP + ㄴ/ETM
특례나	특례/NNG + 나/JC
예외도	예외/NNG + 도/JX
줄어들고	줄/VV + 어/EC + 들/VX + 고/EC
정책	정책/NNG
효과의	효과/NNG + 의/JKG
누출구도	누출구/NNG + 도/JX
막을	막/VV + 을/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

동시에	동시/NNG + 에/JKB
일선	일선/NNG
집행	집행/NNG
창구에서의	창구/NNG + 에서/JKB + 의/JKG
행정	행정/NNG
난맥도	난맥/NNG + 도/JX
정부의	정부/NNG + 의/JKG
일관된	일관/NNG + 되/XSV + ㄴ/ETM
정책	정책/NNG
의지와	의지/NNG + 와/JC
엄정한	엄정/XR + 하/XSA + ㄴ/ETM
집행으로써만	집행/NNG + 으로써/JKB + 만/JX
해소될	해소/NNG + 되/XSV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

토지	토지/NNG
공개념이나	공/NNG + 개념/NNG + 이나/JC
과표	과표/NNG
현실화처럼	현실/NNG + 화/XSN + 처럼/JKB
간판만	간판/NNG + 만/JX
크게	크/VA + 게/EC
걸어	걸/VV + 어/EC
놓고	놓/VX + 고/EC
속으로	속/NNG + 으로/JKB
뒷걸음치는	뒷걸음/NNG + 치/VV + 는/ETM
2중적	2/SN + 중/NNG + 적/XSN
정책	정책/NNG
자세로는	자세/NNG + 로/JKB + 는/JX
결코	결코/MAG
투기	투기/NNG
심리를	심리/NNG + 를/JKO
가라앉히지	가라앉히/VV + 지/EC
못할	못하/VX + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

요즈음	요즈음/NNG
우리	우리/NP
사회의	사회/NNG + 의/JKG
큰	크/VA + ㄴ/ETM
문제의	문제/NNG + 의/JKG
하나는	하나/NR + 는/JX
주관적으로	주관/NNG + 적/XSN + 으로/JKB
"내가	"/SS + 내/NP + 가/JKS
옳다"고	옳/VA + 다/EC + "/SS + 고/JKQ
믿는	믿/VV + 는/ETM
것이	것/NNB + 이/JKS
있을	있/VV + 을/ETM
때	때/NNG
그	그/MM
관철을	관철/NNG + 을/JKO
위해서는	위하/VV + 아서/EC + 는/JX
객관적으로	객관/NNG + 적/XSN + 으로/JKB
존재하는	존재/NNG + 하/XSV + 는/ETM
일반	일반/NNG
규칙이나	규칙/NNG + 이나/JC
절차	절차/NNG
및	및/MAG
순서	순서/NNG
같은	같/VA + 은/ETM
것은	것/NNB + 은/JX
대뜸	대뜸/MAG
무시하거나	무시/NNG + 하/XSV + 거나/EC
초월하려는	초월/NNG + 하/XSV + 려는/ETM
풍조다.	풍조/NNG + 이/VCP + 다/EF + ./SF

입헌민주주의	입헌/NNG + 민주주의/NNG
사회의	사회/NNG + 의/JKG
생명은	생명/NNG + 은/JX
정부나	정부/NNG + 나/JC
개인이	개인/NNG + 이/JKS
모두	모두/MAG
일정한	일정/NNG + 하/XSA + ㄴ/ETM
법률적	법률/NNG + 적/XSN
규범과	규범/NNG + 과/JC
절차	절차/NNG
또는	또는/MAG
규칙에	규칙/NNG + 에/JKB
준해서	준하/VV + 아서/EC
자체의	자체/NNG + 의/JKG
목표를	목표/NNG + 를/JKO
추구해야	추구/NNG + 하/XSV + 아야/EC
한다는	하/VX + ㄴ다는/ETM
당위다.	당위/NNG + 이/VCP + 다/EF + ./SF

그런데	그런데/MAJ
만약	만약/NNG
특정한	특정/NNG + 하/XSA + ㄴ/ETM
권력이나	권력/NNG + 이나/JC
개인	개인/NNG
또는	또는/MAG
집단이	집단/NNG + 이/JKS
"나만이	"/SS + 나/NP + 만/JX + 이/JKS
정당하다"는	정당/XR + 하/XSA + 다/EF + "/SS + 는/ETM
소신에만	소신/NNG + 에/JKB + 만/JX
투철한	투철/XR + 하/XSA + ㄴ/ETM
나머지	나머지/NNG
그	그/MM
목표	목표/NNG
추구에	추구/NNG + 에/JKB
있어	있/VV + 어/EC
일반	일반/NNG
규칙	규칙/NNG
따위는	따위/NNB + 는/JX
안중에도	안중/NNG + 에/JKB + 도/JX
없고,	없/VA + 고/EC + ,/SP
그런	그런/MM
것쯤은	것/NNB + 쯤/XSN + 은/JX
묵살해도	묵살/NNG + 하/XSV + 아도/EC
괜찮다는	괜찮/VA + 다는/ETM
식의	식/NNB + 의/JKG
'도덕적	'/SS + 도덕/NNG + 적/XSN
절대주의'에	절대주의/NNG + '/SS + 에/JKB
사로잡힌다면	사로잡히/VV + ㄴ다면/EC
세상은	세상/NNG + 은/JX
난장판이	난장판/NNG + 이/JKC
되고	되/VV + 고/EC
말	말/VX + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

목표나	목표/NNG + 나/JC
신념이	신념/NNG + 이/JKS
제아무리	제아무리/MAG
'지고'의	'/SS + 지고/NNG + '/SS + 의/JKG
것이라고	것/NNB + 이/VCP + 라고/EC
믿더라도	믿/VV + 더라도/EC
그	그/MM
행동	행동/NNG
방식이	방식/NNG + 이/JKS
'반칙도	'/SS + 반칙/NNG + 도/JX
불사'라는	불사/XR + '/SS + 이/VCP + 라는/ETM
자의성에	자의/NNG + 성/XSN + 에/JKB
빠질	빠지/VV + ㄹ/ETM
경우,	경우/NNG + ,/SP
그것은	그것/NP + 은/JX
결코	결코/MAG
바람직한	바람직/XR + 하/XSA + ㄴ/ETM
사회적	사회/NNG + 적/XSN
실천이라	실천/NNG + 이/VCP + 라/EC
할	하/VV + ㄹ/ETM
수	수/NNB
없으며,	없/VA + 으며/EC + ,/SP
그것이	그것/NP + 이/JKS
만연할	만연/NNG + 하/XSV + ㄹ/ETM
때는	때/NNG + 는/JX
사회와	사회/NNG + 와/JC
나라조차	나라/NNG + 조차/JX
제대로	제대로/MAG
지탱될리	지탱/NNG + 되/XSV + ㄹ/ETM + 리/NNB
없는	없/VA + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

예컨대	예컨대/MAG
23일의	23/SN + 일/NNB + 의/JKG
법정	법정/NNG
소란	소란/NNG
행위만	행위/NNG + 만/JX
해도	하/VV + 아도/EC
그렇다.	그렇/VA + 다/EF + ./SF

우리가	우리/NP + 가/JKS
누누이	누누이/MAG
법정의	법정/NNG + 의/JKG
신성	신성/NNG
불가침을	불가침/NNG + 을/JKO
강조하는	강조/NNG + 하/XSV + 는/ETM
것은	것/NNB + 은/JX
그곳이	그곳/NP + 이/JKS
범죄	범죄/NNG
행위에	행위/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
실체적	실체/NNG + 적/XSN
진실을	진실/NNG + 을/JKO
가리는	가리/VV + 는/ETM
인권의	인권/NNG + 의/JKG
보루이기	보루/NNG + 이/VCP + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

