서울	서울/NNP
신경을	신경/NNG + 을/JKO
써도	쓰/VV + 어도/EC
예방할	예방/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
것들이	것/NNB + 들/XSN + 이/JKS
많다.	많/VA + 다/EF + ./SF

연세대	연세대/NNP
간호대	간호대/NNG
안전간호연구소장	안전/NNG + 간호/NNG + 연구/NNG + 소장/NNG
한정석	한정석/NNP
교수에게	교수/NNG + 에게/JKB
어린이	어린이/NNG
자녀를	자녀/NNG + 를/JKO
둔	두/VV + ㄴ/ETM
주부들이	주부/NNG + 들/XSN + 이/JKS
알아	알/VV + 아/EC
두어야	두/VX + 어야/EC
할	하/VX + ㄹ/ETM
안전	안전/NNG
사고	사고/NNG
예방법을	예방법/NNG + 을/JKO
알아	알/VV + 아/EC
본다.	보/VX + ㄴ다/EF + ./SF

먼저	먼저/MAG
목욕탕에는	목욕탕/NNG + 에/JKB + 는/JX
고무	고무/NNG
등	등/NNB
부드러운	부드럽/VA + ㄴ/ETM
재질로	재질/NNG + 로/JKB
된	되/VV + ㄴ/ETM
매트를	매트/NNG + 를/JKO
깔아	깔/VV + 아/EC
놓아야	놓/VX + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

목욕탕의	목욕탕/NNG + 의/JKG
타일	타일/NNG
바닥이	바닥/NNG + 이/JKS
미끄러워	미끄럽/VA + 어/EC
어린이가	어린이/NNG + 가/JKS
쉽게	쉽/VA + 게/EC
넘어질	넘어지/VV + ㄹ/ETM
수	수/NNB
있기	있/VV + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

이런	이런/MM
경우의	경우/NNG + 의/JKG
안전	안전/NNG
사고가	사고/NNG + 가/JKS
가장	가장/MAG
많은	많/VA + 은/ETM
것으로	것/NNB + 으로/JKB
알려졌다.	알리/VV + 어/EC + 지/VX + 었/EP + 다/EF + ./SF

변기의	변기/NNG + 의/JKG
뚜껑은	뚜껑/NNG + 은/JX
반드시	반드시/MAG
덮어	덮/VV + 어/EC
두어야	두/VX + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

잘못	잘못/MAG
미끄러진	미끄러지/VV + ㄴ/ETM
어린이의	어린이/NNG + 의/JKG
얼굴이	얼굴/NNG + 이/JKS
변기통	변기통/NNG
물에	물/NNG + 에/JKB
박혀	박히/VV + 어/EC
익사하는	익사/NNG + 하/XSV + 는/ETM
경우가	경우/NNG + 가/JKS
있다.	있/VV + 다/EF + ./SF

부엌의	부엌/NNG + 의/JKG
경우	경우/NNG
냄비의	냄비/NNG + 의/JKG
손잡이는	손잡이/NNG + 는/JX
어린이가	어린이/NNG + 가/JKS
잡아	잡/VV + 아/EC
당겨서	당기/VV + 어서/EC
엎질러지지	엎질러지/VV + 지/EC
않도록	않/VX + 도록/EC
항상	항상/MAG
벽쪽을	벽/NNG + 쪽/NNB + 을/JKO
향하도록	향하/VV + 도록/EC
한다.	하/VX + ㄴ다/EF + ./SF

그리고	그리고/MAJ
음식을	음식/NNG + 을/JKO
끓일	끓이/VV + ㄹ/ETM
때는	때/NNG + 는/JX
항상	항상/MAG
끓는	끓/VV + 는/ETM
물이	물/NNG + 이/JKS
넘치지	넘치/VV + 지/EC
않도록	않/VX + 도록/EC
주의를	주의/NNG + 를/JKO
기울여야	기울이/VV + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

어린	어리/VA + ㄴ/ETM
아이가	아이/NNG + 가/JKS
있는	있/VV + 는/ETM
가정에선	가정/NNG + 에서/JKB + ㄴ/JX
식탁보는	식탁보/NNG + 는/JX
되도록	되도록/MAG
하지	하/VV + 지/EC
않는	않/VV + 는/ETM
것이	것/NNB + 이/JKS
좋다.	좋/VA + 다/EF + ./SF

기어다니거나	기/VV + 어/EC + 다니/VV + 거나/EC
걸음마를	걸음마/NNG + 를/JKO
하는	하/VV + 는/ETM
어린이가	어린이/NNG + 가/JKS
잡아	잡/VV + 아/EC
당겨	당기/VV + 어/EC
식탁	식탁/NNG
위의	위/NNG + 의/JKG
물건들이	물건/NNG + 들/XSN + 이/JKS
어린이	어린이/NNG
머리	머리/NNG
위에	위/NNG + 에/JKB
떨어질	떨어지/VV + ㄹ/ETM
우려가	우려/NNG + 가/JKS
있다.	있/VV + 다/EF + ./SF

뜨거운	뜨겁/VA + ㄴ/ETM
음식이나	음식/NNG + 이나/JC
음료수를	음료수/NNG + 를/JKO
마실	마시/VV + ㄹ/ETM
때에는	때/NNG + 에/JKB + 는/JX
무릎에	무릎/NNG + 에/JKB
어린이를	어린이/NNG + 를/JKO
앉히지	앉히/VV + 지/EC
않도록	않/VX + 도록/EC
해야	하/VX + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

거실의	거실/NNG + 의/JKG
경우	경우/NNG
테이블의	테이블/NNG + 의/JKG
날카로운	날카롭/VA + ㄴ/ETM
모서리는	모서리/NNG + 는/JX
플라스틱	플라스틱/NNG
끼우개나	끼우개/NNG + 나/JC
천을	천/NNG + 을/JKO
씌워	씌우/VV + 어/EC
어린이가	어린이/NNG + 가/JKS
다치지	다치/VV + 지/EC
않도록	않/VX + 도록/EC
해야	하/VX + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

발을	발/NNG + 을/JKO
쳐	치/VV + 어/EC
두는	두/VX + 는/ETM
것도	것/NNB + 도/JX
좋지	좋/VA + 지/EC
않다.	않/VX + 다/EF + ./SF

어린이가	어린이/NNG + 가/JKS
고정된	고정/NNG + 되/XSV + ㄴ/ETM
문인	문/NNG + 이/VCP + ㄴ/ETM
줄	줄/NNB
알고	알/VV + 고/EC
접근했다가	접근/NNG + 하/XSV + 았/EP + 다가/EC
발이	발/NNG + 이/JKS
움직이는	움직이/VV + 는/ETM
바람에	바람/NNB + 에/JKB
쉽게	쉽/VA + 게/EC
넘어질	넘어지/VV + ㄹ/ETM
수	수/NNB
있기	있/VV + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

현관문의	현관문/NNG + 의/JKG
유리창에는	유리창/NNG + 에/JKB + 는/JX
그림	그림/NNG
등을	등/NNB + 을/JKO
붙여	붙이/VV + 어/EC
두는	두/VX + 는/ETM
것이	것/NNB + 이/JKS
좋다.	좋/VA + 다/EF + ./SF

그렇지	그렇/VA + 지/EC
않을	않/VX + 을/ETM
경우	경우/NNG
어린이가	어린이/NNG + 가/JKS
아무	아무/MM
물체가	물체/NNG + 가/JKS
없는	없/VA + 는/ETM
것으로	것/NNB + 으로/JKB
착각,	착각/NNG + ,/SP
부딪쳐	부딪치/VV + 어/EC
다치기도	다치/VV + 기/ETN + 도/JX
한다.	하/VX + ㄴ다/EF + ./SF

베란다에는	베란다/NNG + 에/JKB + 는/JX
반드시	반드시/MAG
쇠막대	쇠/NNG + 막대/NNG
구조물을	구조물/NNG + 을/JKO
설치해야	설치/NNG + 하/XSV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

방충망이	방충망/NNG + 이/JKS
설치되어	설치/NNG + 되/XSV + 어/EC
있는	있/VX + 는/ETM
경우에도	경우/NNG + 에/JKB + 도/JX
이	이/MM
구조물이	구조물/NNG + 이/JKS
없으면	없/VA + 으면/EC
어린이가	어린이/NNG + 가/JKS
방충망을	방충망/NNG + 을/JKO
뚫고	뚫/VV + 고/EC
베란다	베란다/NNG
밖으로	밖/NNG + 으로/JKB
떨어지는	떨어지/VV + 는/ETM
사고가	사고/NNG + 가/JKS
종종	종종/MAG
있다.	있/VV + 다/EF + ./SF

구조물의	구조물/NNG + 의/JKG
간격은	간격/NNG + 은/JX
너무	너무/MAG
넓지	넓/VA + 지/EC
않게	않/VX + 게/EC
만들어야	만들/VV + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

집에서	집/NNG + 에서/JKB
개를	개/NNG + 를/JKO
기를	기르/VV + ㄹ/ETM
경우	경우/NNG
반드시	반드시/MAG
광견병	광견병/NNG
예방	예방/NNG
접종	접종/NNG
등을	등/NNB + 을/JKO
해	하/VV + 아/EC
두도록	두/VX + 도록/EC
한다.	하/VX + ㄴ다/EF + ./SF

그리고	그리고/MAJ
사용하지	사용/NNG + 하/XSV + 지/EC
않는	않/VX + 는/ETM
콘센트는	콘센트/NNG + 는/JX
안전	안전/NNG
커버를	커버/NNG + 를/JKO
씌워	씌우/VV + 어/EC
두어야	두/VX + 어야/EC
사고를	사고/NNG + 를/JKO
예방할	예방/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

근래	근래/NNG
우리	우리/NP
나라에서	나라/NNG + 에서/JKB
많이	많이/MAG
소비되는	소비/NNG + 되/XSV + 는/ETM
보약으로는	보약/NNG + 으로/JKB + 는/JX
녹용	녹용/NNG
다음으로	다음/NNG + 으로/JKB
녹각이	녹각/NNG + 이/JKS
꼽힌다.	꼽히/VV + ㄴ다/EF + ./SF

그러나,	그러나/MAJ + ,/SP
녹각은	녹각/NNG + 은/JX
과다	과다/NNG
복용할	복용/NNG + 하/XSV + ㄹ/ETM
경우	경우/NNG
심한	심하/VA + ㄴ/ETM
위장	위장/NNG
장애를	장애/NNG + 를/JKO
유발할	유발/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있음에	있/VV + 음/ETN + 에/JKB
유의해야	유의/NNG + 하/XSV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

녹각은	녹각/NNG + 은/JX
사슴	사슴/NNG
뿔이	뿔/NNG + 이/JKS
노화되어	노화/NNG + 되/XSV + 어/EC
자연	자연/MAG
탈락된	탈락/NNG + 되/XSV + ㄴ/ETM
것으로	것/NNB + 으로/JKB
근원적으로	근원/NNG + 적/XSN + 으로/JKB
녹용과는	녹용/NNG + 과/JKB + 는/JX
성분상	성분/NNG + 상/XSN
큰	크/VA + ㄴ/ETM
차이가	차이/NNG + 가/JKS
있다.	있/VV + 다/EF + ./SF

이를테면	이를테면/MAG
녹용에는	녹용/NNG + 에/JKB + 는/JX
단백질	단백질/NNG
함량이	함량/NNG + 이/JKS
높고,	높/VA + 고/EC + ,/SP
녹각에는	녹각/NNG + 에/JKB + 는/JX
아교질이나	아교/NNG + 질/XSN + 이나/JC
칼슘	칼슘/NNG
성분이	성분/NNG + 이/JKS
주류를	주류/NNG + 를/JKO
이룬다.	이루/VV + ㄴ다/EF + ./SF

따라서	따라서/MAJ
녹각만을	녹각/NNG + 만/JX + 을/JKO
달여	달이/VV + 어/EC
아교	아교/NNG
같은	같/VA + 은/ETM
상태로	상태/NNG + 로/JKB
만든	만들/VV + ㄴ/ETM
다음	다음/NNG
매일	매일/MAG
데워	데우/VV + 어/EC
먹는다든지,	먹/VV + 는다든지/EC + ,/SP
이것을	이것/NP + 을/JKO
넣고	넣/VV + 고/EC
만든	만들/VV + ㄴ/ETM
개소주를	개소주/NNG + 를/JKO
장복할	장복/NNG + 하/XSV + ㄹ/ETM
때는	때/NNG + 는/JX
급격한	급격/XR + 하/XSA + ㄴ/ETM
소화	소화/NNG
장애가	장애/NNG + 가/JKS
일어난다.	일어나/VV + ㄴ다/EF + ./SF

증상이	증상/NNG + 이/JKS
심화되면	심화/NNG + 되/XSV + 면/EC
염증,	염증/NNG + ,/SP
위궤양,	위궤양/NNG + ,/SP
위하수를	위하수/NNG + 를/JKO
가져	가지/VV + 어/EC
올	오/VX + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

드물게는	드물/VA + 게/EC + 는/JX
칼슘이	칼슘/NNG + 이/JKS
쌓여	쌓이/VV + 어/EC
결석	결석/NNG
증상을	증상/NNG + 을/JKO
일으키기도	일으키/VV + 기/ETN + 도/JX
한다.	하/VX + ㄴ다/EF + ./SF

녹각은	녹각/NNG + 은/JX
일반적으로	일반/NNG + 적/XSN + 으로/JKB
1회	1/SN + 회/NNB
5~10g씩	5/SN + ~/SO + 10/SN + g/SL + 씩/XSN
하루	하루/NNG
3회	3/SN + 회/NNB
복용이	복용/NNG + 이/JKS
가능하며	가능/NNG + 하/XSA + 며/EC
1	1/SN
개월까지는	개월/NNB + 까지/JX + 는/JX
유효한	유효/NNG + 하/XSA + ㄴ/ETM
반응을	반응/NNG + 을/JKO
일으킨다.	일으키/VV + ㄴ다/EF + ./SF

그러나,	그러나/MAJ + ,/SP
그	그/MM
이상으로	이상/NNG + 으로/JKB
과량	과량/NNG
또는	또는/MAG
장기	장기/NNG
복용하면	복용/NNG + 하/XSV + 면/EC
도리어	도리어/MAG
다른	다른/MM
질환의	질환/NNG + 의/JKG
원인이	원인/NNG + 이/JKC
된다.	되/VV + ㄴ다/EF + ./SF

작년	작년/NNG
1년	1/SN + 년/NNB
동안	동안/NNG
우리	우리/NP
나라의	나라/NNG + 의/JKG
녹각	녹각/NNG
수입량이	수입량/NNG + 이/JKS
1천	1/SN + 천/NR
1백	1/SN + 백/NR
89t에	89/SN + t/SL + 에/JKB
이르렀는데	이르/VV + 었/EP + 는데/EC
이는	이/NP + 는/JX
실로	실로/MAG
놀라운	놀랍/VA + ㄴ/ETM
일이다.	일/NNG + 이/VCP + 다/EF + ./SF

아무리	아무리/MAG
몸에	몸/NNG + 에/JKB
유익한	유익/NNG + 하/XSA + ㄴ/ETM
약이라도	약/NNG + 이/VCP + 라도/EC
복용	복용/NNG
방법을	방법/NNG + 을/JKO
잘	잘/MAG
지켜야	지키/VV + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

습기	습기/NNG
찬	차/VA + ㄴ/ETM
무더위가	무더위/NNG + 가/JKS
계속되면	계속/NNG + 되/XSV + 면/EC
밥맛이	밥맛/NNG + 이/JKS
떨어지기	떨어지/VV + 기/ETN
쉽다.	쉽/VA + 다/EF + ./SF

된장이나	된장/NNG + 이나/JC
고추장에	고추장/NNG + 에/JKB
박아	박/VV + 아/EC
둔	두/VX + ㄴ/ETM
장아찌,	장아찌/NNG + ,/SP
간장에	간장/NNG + 에/JKB
졸여낸	졸이/VV + 어/EC + 내/VX + ㄴ/ETM
장아찌	장아찌/NNG
한	한/MM
두가지가	두/MM + 가지/NNB + 가/JKS
상큼하게	상큼/XR + 하/XSA + 게/EC
입맛을	입맛/NNG + 을/JKO
당기는	당기/VV + 는/ETM
요즘,	요즘/NNG + ,/SP
담가서	담그/VV + 아서/EC
짧으면	짧/VA + 으면/EC
1주일,	1/SN + 주일/NNB + ,/SP
적어도	적어도/MAG
한	한/MM
두	두/MM
달이면	달/NNG + 이/VCP + 면/EC
제맛을	제맛/NNG + 을/JKO
내는	내/VV + 는/ETM
장아찌	장아찌/NNG
만드는	만들/VV + 는/ETM
법을	법/NNG + 을/JKO
익혀보자.	익히/VV + 어/EC + 보/VX + 자/EF + ./SF

지난달	지난달/NNG
열린	열리/VV + ㄴ/ETM
한국	한국/NNP
국제요리	국제/NNG + 요리/NNG
경연대회에서	경연/NNG + 대회/NNG + 에서/JKB
금상을	금상/NNG + 을/JKO
받은	받/VV + 은/ETM
한강호텔	한강호텔/NNP
봉하원	봉하원/NNP
주방장(35)은	주방장/NNG + (/SS + 35/SN + )/SS + 은/JX
수상작	수상작/NNG
한정식	한정식/NNG
차림에	차림/NNG + 에/JKB
무려	무려/MAG
27가지의	27/SN + 가지/NNB + 의/JKG
장아찌를	장아찌/NNG + 를/JKO
내놔	내놓/VV + 아/EC
눈길을	눈길/NNG + 을/JKO
모았다.	모으/VV + 았/EP + 다/EF + ./SF

마늘,	마늘/NNG + ,/SP
양파,	양파/NNG + ,/SP
고추,	고추/NNG + ,/SP
깻잎	깻잎/NNG
등	등/NNB
비교적	비교/NNG + 적/XSN
낯익은	낯익/VA + 은/ETM
것으로부터	것/NNB + 으로부터/JKB
열무,	열무/NNG + ,/SP
파인애플,	파인애플/NNG + ,/SP
문어,	문어/NNG + ,/SP
북어,	북어/NNG + ,/SP
수박껍질,	수박/NNG + 껍질/NNG + ,/SP
참외,	참외/NNG + ,/SP
배,	배/NNG + ,/SP
호도,	호도/NNG + ,/SP
당근	당근/NNG
등	등/NNB
채소,	채소/NNG + ,/SP
해산물,	해산물/NNG + ,/SP
과일에	과일/NNG + 에/JKB
이르기까지	이르/VV + 기/ETN + 까지/JX
'무엇이든'	'/SS + 무엇/NP + 이/VCP + 든/EC + '/SS
장아찌로	장아찌/NNG + 로/JKB
만들	만들/VV + ㄹ/ETM
수	수/NNB
있다고	있/VV + 다고/EC
말하는	말/NNG + 하/XSV + 는/ETM
봉씨의	봉/NNP + 씨/NNB + 의/JKG
장아찌	장아찌/NNG
담는	담/VV + 는/ETM
법은	법/NNB + 은/JX
간장에	간장/NNG + 에/JKB
담갔다	담그/VV + 았/EP + 다/EC
말려	말리/VV + 어/EC
간장	간장/NNG
고추장	고추장/NNG
된장	된장/NNG
물엿	물엿/NNG
멸치젓국을	멸치/NNG + 젓국/NNG + 을/JKO
졸여	졸이/VV + 어/EC
만든'장아찌	만들/VV + ㄴ/ETM + '/SS + 장아찌/NNG
장'을	장/NNG + '/SS + 을/JKO
이용하는	이용/NNG + 하/XSV + 는/ETM
것이	것/NNB + 이/JKS
특색.	특색/NNG + ./SF

"망	"/SS + 망/NNG
주머니에	주머니/NNG + 에/JKB
장아찌	장아찌/NNG
재료를	재료/NNG + 를/JKO
넣고	넣/VV + 고/EC
주머니	주머니/NNG
끈에	끈/NNG + 에/JKB
이름표를	이름표/NNG + 를/JKO
달아	달/VV + 아/EC
주머니째	주머니/NNG + 째/XSN
장에	장/NNG + 에/JKB
박아두면	박/VV + 아/EC + 두/VX + 면/EC
그	그/MM
때	때/NNG
그	그/MM
때	때/NNG
먹고	먹/VV + 고/EC
싶은	싶/VX + 은/ETM
것만	것/NNB + 만/JX
간편하게	간편/XR + 하/XSA + 게/EC
꺼내	꺼내/VV + 어/EC
먹을	먹/VV + 을/ETM
수	수/NNB
있습니다."	있/VV + 습니다/EF + ./SF + "/SS

봉씨는	봉/NNP + 씨/NNB + 는/JX
"일본	"/SS + 일본/NNP
장아찌	장아찌/NNG
종류가	종류/NNG + 가/JKS
많다	많/VA + 다/EC
해도	하/VV + 아도/EC
실은	실은/MAG
우리	우리/NP
것이	것/NNB + 이/JKS
더	더/MAG
다양하고	다양/NNG + 하/XSA + 고/EC
맛도	맛/NNG + 도/JX
깊은	깊/VA + 은/ETM
맛을	맛/NNG + 을/JKO
낸다"며	내/VV + ㄴ다/EC + "/SS + 며/EC
단백질과	단백질/NNG + 과/JC
지방을	지방/NNG + 을/JKO
공급하는	공급/NNG + 하/XSV + 는/ETM
저장식품으로	저장/NNG + 식품/NNG + 으로/JKB
우리	우리/NP
장아찌를	장아찌/NNG + 를/JKO
세계화하고	세계/NNG + 화/XSN + 하/XSV + 고/EC
싶다고	싶/VX + 다고/EC
말한다.	말/NNG + 하/XSV + ㄴ다/EF + ./SF

고추장	고추장/NNG
4컵에	4/SN + 컵/NNG + 에/JKB
된장	된장/NNG
2컵,	2/SN + 컵/NNG + ,/SP
흑설탕	흑설탕/NNG
1컵,	1/SN + 컵/NNG + ,/SP
간장	간장/NNG
1컵,	1/SN + 컵/NNG + ,/SP
물엿	물엿/NNG
1컵,	1/SN + 컵/NNG + ,/SP
멸치젓국	멸치/NNG + 젓국/NNG
또는	또는/MAG
액젓	액젓/NNG
반컵	반/NNG + 컵/NNG
비율로	비율/NNG + 로/JKB
섞는다.	섞/VV + 는다/EF + ./SF

냉장고에	냉장고/NNG + 에/JKB
두지	두/VV + 지/EC
않고	않/VX + 고/EC
밖에	밖/NNG + 에/JKB
내놓고	내놓/VV + 고/EC
먹을	먹/VV + 을/ETM
것이면	것/NNB + 이/VCP + 면/EC
소금을	소금/NNG + 을/JKO
두컵	두/MM + 컵/NNG
넣는다.	넣/VV + 는다/EF + ./SF

양을	양/NNG + 을/JKO
늘리려면	늘리/VV + 려면/EC
이	이/MM
비율대로	비율/NNG + 대로/JX
재료를	재료/NNG + 를/JKO
더	더/MAG
쓰면	쓰/VV + 면/EC
된다.	되/VV + ㄴ다/EF + ./SF

▴	▴/SW
먼저	먼저/MAG
진간장을	진간장/NNG + 을/JKO
넉넉히	넉넉히/MAG
준비해	준비/NNG + 하/XSV + 아/EC
둔다.	두/VX + ㄴ다/EF + ./SF

시중에서	시중/NNG + 에서/JKB
파는	팔/VV + 는/ETM
양조	양조/NNG
진간장도	진간장/NNG + 도/JX
좋다.	좋/VA + 다/EF + ./SF

▴	▴/SW
열무는	열무/NNG + 는/JX
잎만	잎/NNG + 만/JX
깨끗이	깨끗이/MAG
손질하고	손질/NNG + 하/XSV + 고/EC
무는	무/NNG + 는/JX
적당한	적당/XR + 하/XSA + ㄴ/ETM
크기로	크기/NNG + 로/JKB
토막낸다.	토막/NNG + 내/VV + ㄴ다/EF + ./SF

오이와	오이/NNG + 와/JC
당근은	당근/NNG + 은/JX
통째로	통째/NNG + 로/JKB
껍질만	껍질/NNG + 만/JX
깨끗이	깨끗이/MAG
씻어	씻/VV + 어/EC
물기를	물/NNG + 기/XSN + 를/JKO
뺀다.	빼/VV + ㄴ다/EF + ./SF

파인애플은	파인애플/NNG + 은/JX
통조림	통조림/NNG
경우	경우/NNG
그대로,	그대로/MAG + ,/SP
날것은	날것/NNG + 은/JX
껍질을	껍질/NNG + 을/JKO
벗기고	벗기/VV + 고/EC
통째로	통째/NNG + 로/JKB
심지를	심지/NNG + 를/JKO
빼둔다.	빼/VV + 어/EC + 두/VX + ㄴ다/EF + ./SF

문어는	문어/NNG + 는/JX
20분	20/SN + 분/NNB
정도	정도/NNG
삶아	삶/VV + 아/EC
반만	반/NNG + 만/JX
익힌다.	익히/VV + ㄴ다/EF + ./SF

해파리도	해파리/NNG + 도/JX
살짝	살짝/MAG
데쳐	데치/VV + 어/EC
물에	물/NNG + 에/JKB
불려	불리/VV + 어/EC
충분히	충분히/MAG
불으면	붇/VV + 으면/EC
물기를	물/NNG + 기/XSN + 를/JKO
빼둔다.	빼/VV + 어/EC + 두/VX + ㄴ다/EF + ./SF

북어는	북어/NNG + 는/JX
마른	마르/VV + ㄴ/ETM
것을	것/NNB + 을/JKO
반으로	반/NNG + 으로/JKB
갈라	가르/VV + 아/EC
머리와	머리/NNG + 와/JC
지느러미	지느러미/NNG
등을	등/NNB + 을/JKO
떼내	떼/VV + 어/EC + 내/VX + 어/EC
손질한다.	손질/NNG + 하/XSV + ㄴ다/EF + ./SF

배는	배/NNG + 는/JX
반으로	반/NNG + 으로/JKB
갈라	가르/VV + 아/EC
씨	씨/NNG
있는	있/VV + 는/ETM
부분을	부분/NNG + 을/JKO
도려낸다.	도려내/VV + ㄴ다/EF + ./SF

수박껍질은	수박/NNG + 껍질/NNG + 은/JX
붉은	붉/VA + 은/ETM
살이	살/NNG + 이/JKS
남지	남/VV + 지/EC
않게	않/VX + 게/EC
긁어내고	긁어내/VV + 고/EC
껍질	껍질/NNG
중	중/NNB
딱딱한	딱딱/XR + 하/XSA + ㄴ/ETM
부분도	부분/NNG + 도/JX
깎아낸다.	깎/VV + 아/EC + 내/VX + ㄴ다/EF + ./SF

참외는	참외/NNG + 는/JX
반	반/NNG
갈라	가르/VV + 아/EC
껍질은	껍질/NNG + 은/JX
두고	두/VV + 고/EC
속씨만	속/NNG + 씨/NNG + 만/JX
긁어낸다.	긁어내/VV + ㄴ다/EF + ./SF

▴	▴/SW
진간장에	진간장/NNG + 에/JKB
위의	위/NNG + 의/JKG
재료들을	재료/NNG + 들/XSN + 을/JKO
4일	4/SN + 일/NNB
정도	정도/NNG
담가둔	담그/VV + 아/EC + 두/VX + ㄴ/ETM
뒤	뒤/NNG
채반에	채반/NNG + 에/JKB
널어	널/VV + 어/EC
바람이	바람/NNG + 이/JKS
잘	잘/MAG
통하는	통하/VV + 는/ETM
그늘에서	그늘/NNG + 에서/JKB
하루	하루/NNG
이틀	이틀/NNG
완전히	완전히/MAG
꾸덕꾸덕해질	꾸덕꾸덕/MAG + 하/XSA + 아/EC + 지/VX + ㄹ/ETM
때까지	때/NNG + 까지/JX
말린다.	말리/VV + ㄴ다/EF + ./SF

▴	▴/SW
재료별로	재료/NNG + 별/XSN + 로/JKB
망주머니에	망/NNG + 주머니/NNG + 에/JKB
담아	담/VV + 아/EC
준비해	준비/NNG + 하/XSV + 아/EC
둔	두/VX + ㄴ/ETM
장에	장/NNG + 에/JKB
박아둔다.	박/VV + 아/EC + 두/VX + ㄴ다/EF + ./SF

▴	▴/SW
한두달	한두/MM + 달/NNG
지나	지나/VV + 아/EC
물이	물/NNG + 이/JKS
생기면	생기/VV + 면/EC
장과	장/NNG + 과/JC
국물을	국물/NNG + 을/JKO
따라내서	따르/VV + 아/EC + 내/VX + 어서/EC
팔팔	팔팔/MAG
끓인	끓이/VV + ㄴ/ETM
후	후/NNG
식혀서	식히/VV + 어서/EC
다시	다시/MAG
재료를	재료/NNG + 를/JKO
넣어	넣/VV + 어/EC
둔다.	두/VX + ㄴ다/EF + ./SF

곰팡이(골마지)가	곰팡이/NNG + (/SS + 골마지/NNG + )/SS + 가/JKS
끼면	끼/VV + 면/EC
그	그/MM
부분을	부분/NNG + 을/JKO
걷어낸	걷/VV + 어/EC + 내/VX + ㄴ/ETM
뒤	뒤/NNG
장을	장/NNG + 을/JKO
꺼내	꺼내/VV + 어/EC
다시	다시/MAG
끓여서	끓이/VV + 어서/EC
식힌	식히/VV + ㄴ/ETM
뒤	뒤/NNG
재료를	재료/NNG + 를/JKO
넣는다.	넣/VV + 는다/EF + ./SF

뒤쪽은	뒤쪽/NNG + 은/JX
울산바위가	울산바위/NNP + 가/JKS
병풍을	병풍/NNG + 을/JKO
두른	두르/VV + ㄴ/ETM
듯	듯/NNB
둘러쳐	둘러치/VV + 어/EC
있고	있/VX + 고/EC
앞은	앞/NNG + 은/JX
짙푸른	짙푸르/VA + ㄴ/ETM
동해	동해/NNP
바다가	바다/NNG + 가/JKS
펼쳐진	펼쳐지/VV + ㄴ/ETM
설악산	설악산/NNP
신평벌-.세계잼버리대회가	신평벌/NNP + -/SS + ./SF + 세계/NNG + 잼버리/NNG + 대회/NNG + 가/JKS

열렸던	열리/VV + 었/EP + 던/ETM
강원도	강원도/NNP
고성군	고성군/NNP
토성면	토성면/NNP
금강산	금강산/NNP
화암사	화암사/NNP
아래	아래/NNG
신평벌이	신평벌/NNP + 이/JKS
가족-청소년	가족/NNG + -/SS + 청소년/NNG
야영장으로	야영장/NNG + 으로/JKB
올	올/MM
여름	여름/NNG
휴가객을	휴가객/NNG + 을/JKO
부른다.	부르/VV + ㄴ다/EF + ./SF

설악산	설악산/NNP
동북쪽	동북쪽/NNG
77만여평의	77/SN + 만/NR + 여/XSN + 평/NNB + 의/JKG
평원	평원/NNG
지대	지대/NNG
신평벌은	신평벌/NNP + 은/JX
세계	세계/NNG
잼버리	잼버리/NNG
대회	대회/NNG
후	후/NNG
강원도와	강원도/NNP + 와/JC
호삼개발	호삼개발/NNP
등이	등/NNB + 이/JKS
관리를	관리/NNG + 를/JKO
나눠	나누/VV + 어/EC
맡아	맡/VV + 아/EC
하고	하/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

이	이/MM
가운데	가운데/NNG
강원도	강원도/NNP
직영	직영/NNG
수련장인	수련장/NNG + 이/VCP + ㄴ/ETM
제	제/XPN
1	1/SN
야영장과	야영장/NNG + 과/JC
호삼이	호삼/NNP + 이/JKS
운영하는	운영/NNG + 하/XSV + 는/ETM
제2	제/XPN + 2/SN
야영장이	야영장/NNG + 이/JKS
올	올/MM
여름	여름/NNG
개방된다.	개방/NNG + 되/XSV + ㄴ다/EF + ./SF

"산바람	"/SS + 산바람/NNG
바닷바람이	바닷바람/NNG + 이/JKS
번갈아	번갈/VV + 아/EC
불어와	불어오/VV + 아/EC
속초	속초/NNP
